genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,BT-549    ,SLC7A1,BT-549
6542,1,BT-549    ,SLC7A2,BT-549
84889,1,BT-549    ,SLC7A3,BT-549
53,1,BT-549    ,ACP2,BT-549
6822,1,BT-549    ,SULT2A1,BT-549
126129,1,BT-549    ,CPT1C,BT-549
1374,1,BT-549    ,CPT1A,BT-549
1375,1,BT-549    ,CPT1B,BT-549
6528,1,BT-549    ,SLC5A5,BT-549
124583,1,BT-549    ,CANT1,BT-549
64772,1,BT-549    ,ENGASE,BT-549
788,1,BT-549    ,SLC25A20,BT-549
4669,1,BT-549    ,NAGLU,BT-549
412,1,BT-549    ,STS,BT-549
9060,1,BT-549    ,PAPSS2,BT-549
9061,1,BT-549    ,PAPSS1,BT-549
4191,0.991567157,BT-549    ,MDH2,BT-549
1717,0,BT-549    ,DHCR7,BT-549
2180,1,BT-549    ,ACSL1,BT-549
1579,1,BT-549    ,CYP4A11,BT-549
23761,0,BT-549    ,PISD,BT-549
1431,1,BT-549    ,CS,BT-549
6785,1,BT-549    ,ELOVL4,BT-549
2799,1,BT-549    ,GNS,BT-549
218,1,BT-549    ,ALDH3A1,BT-549
220,1,BT-549    ,ALDH1A3,BT-549
221,1,BT-549    ,ALDH3B1,BT-549
222,1,BT-549    ,ALDH3B2,BT-549
10195,1,BT-549    ,ALG3,BT-549
1103,1,BT-549    ,CHAT,BT-549
6515,1,BT-549    ,SLC2A3,BT-549
3177,1,BT-549    ,SLC29A2,BT-549
8705,1,BT-549    ,B3GALT4,BT-549
13,1,BT-549    ,AADAC,BT-549
217,1,BT-549    ,ALDH2,BT-549
219,1,BT-549    ,ALDH1B1,BT-549
4329,0.992299826,BT-549    ,ALDH6A1,BT-549
5832,1,BT-549    ,ALDH18A1,BT-549
7915,1,BT-549    ,ALDH5A1,BT-549
8659,1,BT-549    ,ALDH4A1,BT-549
10201,1,BT-549    ,NME6,BT-549
29922,1,BT-549    ,NME7,BT-549
4830,1,BT-549    ,NME1,BT-549
4831,1,BT-549    ,NME2,BT-549
4832,1,BT-549    ,NME3,BT-549
6509,1,BT-549    ,SLC1A4,BT-549
6510,1,BT-549    ,SLC1A5,BT-549
8972,1,BT-549    ,MGAM,BT-549
10390,1,BT-549    ,CEPT1,BT-549
56994,1,BT-549    ,CHPT1,BT-549
10690,1,BT-549    ,FUT9,BT-549
4524,1,BT-549    ,MTHFR,BT-549
6554,1,BT-549    ,SLC10A1,BT-549
6555,1,BT-549    ,SLC10A2,BT-549
7299,1,BT-549    ,TYR,BT-549
23600,1,BT-549    ,AMACR,BT-549
51005,1,BT-549    ,AMDHD2,BT-549
8884,1,BT-549    ,SLC5A6,BT-549
5091,1,BT-549    ,PC,BT-549
3295,0,BT-549    ,HSD17B4,BT-549
23315,1,BT-549    ,SLC9A8,BT-549
84679,1,BT-549    ,SLC9A7,BT-549
2683,1,BT-549    ,B4GALT1,BT-549
8703,1,BT-549    ,B4GALT3,BT-549
8704,1,BT-549    ,B4GALT2,BT-549
9334,1,BT-549    ,B4GALT5,BT-549
51727,0,BT-549    ,CMPK1,BT-549
2805,0.996859671,BT-549    ,GOT1,BT-549
1384,1,BT-549    ,CRAT,BT-549
1591,1,BT-549    ,CYP24A1,BT-549
5130,1,BT-549    ,PCYT1A,BT-549
9468,1,BT-549    ,PCYT1B,BT-549
3073,1,BT-549    ,HEXA,BT-549
3074,1,BT-549    ,HEXB,BT-549
411,1,BT-549    ,ARSB,BT-549
2650,1,BT-549    ,GCNT1,BT-549
51301,1,BT-549    ,GCNT4,BT-549
9245,1,BT-549    ,GCNT3,BT-549
4942,0.996129023,BT-549    ,OAT,BT-549
1109,1,BT-549    ,AKR1C4,BT-549
54490,1,BT-549    ,UGT2B28,BT-549
54575,1,BT-549    ,UGT1A10,BT-549
54576,1,BT-549    ,UGT1A8,BT-549
