genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,COLO-205,SLC7A1,COLO-205
6542,1,COLO-205,SLC7A2,COLO-205
84889,1,COLO-205,SLC7A3,COLO-205
53,1,COLO-205,ACP2,COLO-205
6822,1,COLO-205,SULT2A1,COLO-205
126129,1,COLO-205,CPT1C,COLO-205
1374,1,COLO-205,CPT1A,COLO-205
1375,1,COLO-205,CPT1B,COLO-205
6528,1,COLO-205,SLC5A5,COLO-205
124583,1,COLO-205,CANT1,COLO-205
64772,1,COLO-205,ENGASE,COLO-205
788,1,COLO-205,SLC25A20,COLO-205
4669,1,COLO-205,NAGLU,COLO-205
412,1,COLO-205,STS,COLO-205
9060,1,COLO-205,PAPSS2,COLO-205
9061,1,COLO-205,PAPSS1,COLO-205
4191,0.947236324,COLO-205,MDH2,COLO-205
1717,0,COLO-205,DHCR7,COLO-205
2180,1,COLO-205,ACSL1,COLO-205
1579,1,COLO-205,CYP4A11,COLO-205
23761,0,COLO-205,PISD,COLO-205
1431,1,COLO-205,CS,COLO-205
6785,1,COLO-205,ELOVL4,COLO-205
2799,1,COLO-205,GNS,COLO-205
218,1,COLO-205,ALDH3A1,COLO-205
220,1,COLO-205,ALDH1A3,COLO-205
221,1,COLO-205,ALDH3B1,COLO-205
222,1,COLO-205,ALDH3B2,COLO-205
10195,1,COLO-205,ALG3,COLO-205
1103,1,COLO-205,CHAT,COLO-205
6515,1,COLO-205,SLC2A3,COLO-205
3177,1,COLO-205,SLC29A2,COLO-205
8705,1,COLO-205,B3GALT4,COLO-205
13,1,COLO-205,AADAC,COLO-205
217,1,COLO-205,ALDH2,COLO-205
219,1,COLO-205,ALDH1B1,COLO-205
4329,0.990176752,COLO-205,ALDH6A1,COLO-205
5832,1,COLO-205,ALDH18A1,COLO-205
7915,1,COLO-205,ALDH5A1,COLO-205
8659,1,COLO-205,ALDH4A1,COLO-205
10201,1,COLO-205,NME6,COLO-205
29922,1,COLO-205,NME7,COLO-205
4830,1,COLO-205,NME1,COLO-205
4831,1,COLO-205,NME2,COLO-205
4832,1,COLO-205,NME3,COLO-205
6509,1,COLO-205,SLC1A4,COLO-205
