genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,CCRF-CEM ,SLC7A1,CCRF-CEM
6542,1,CCRF-CEM ,SLC7A2,CCRF-CEM
84889,1,CCRF-CEM ,SLC7A3,CCRF-CEM
53,1,CCRF-CEM ,ACP2,CCRF-CEM
6822,1,CCRF-CEM ,SULT2A1,CCRF-CEM
126129,1,CCRF-CEM ,CPT1C,CCRF-CEM
1374,1,CCRF-CEM ,CPT1A,CCRF-CEM
1375,1,CCRF-CEM ,CPT1B,CCRF-CEM
6528,1,CCRF-CEM ,SLC5A5,CCRF-CEM
124583,1,CCRF-CEM ,CANT1,CCRF-CEM
64772,1,CCRF-CEM ,ENGASE,CCRF-CEM
788,1,CCRF-CEM ,SLC25A20,CCRF-CEM
4669,1,CCRF-CEM ,NAGLU,CCRF-CEM
412,1,CCRF-CEM ,STS,CCRF-CEM
9060,1,CCRF-CEM ,PAPSS2,CCRF-CEM
9061,1,CCRF-CEM ,PAPSS1,CCRF-CEM
4191,0.977370338,CCRF-CEM ,MDH2,CCRF-CEM
1717,0,CCRF-CEM ,DHCR7,CCRF-CEM
2180,1,CCRF-CEM ,ACSL1,CCRF-CEM
1579,1,CCRF-CEM ,CYP4A11,CCRF-CEM
23761,0,CCRF-CEM ,PISD,CCRF-CEM
1431,1,CCRF-CEM ,CS,CCRF-CEM
6785,1,CCRF-CEM ,ELOVL4,CCRF-CEM
2799,1,CCRF-CEM ,GNS,CCRF-CEM
218,1,CCRF-CEM ,ALDH3A1,CCRF-CEM
220,1,CCRF-CEM ,ALDH1A3,CCRF-CEM
221,1,CCRF-CEM ,ALDH3B1,CCRF-CEM
222,1,CCRF-CEM ,ALDH3B2,CCRF-CEM
10195,1,CCRF-CEM ,ALG3,CCRF-CEM
1103,1,CCRF-CEM ,CHAT,CCRF-CEM
6515,1,CCRF-CEM ,SLC2A3,CCRF-CEM
3177,1,CCRF-CEM ,SLC29A2,CCRF-CEM
8705,1,CCRF-CEM ,B3GALT4,CCRF-CEM
13,1,CCRF-CEM ,AADAC,CCRF-CEM
217,1,CCRF-CEM ,ALDH2,CCRF-CEM
219,1,CCRF-CEM ,ALDH1B1,CCRF-CEM
4329,0.990237805,CCRF-CEM ,ALDH6A1,CCRF-CEM
5832,1,CCRF-CEM ,ALDH18A1,CCRF-CEM
7915,1,CCRF-CEM ,ALDH5A1,CCRF-CEM
8659,1,CCRF-CEM ,ALDH4A1,CCRF-CEM
10201,1,CCRF-CEM ,NME6,CCRF-CEM
29922,1,CCRF-CEM ,NME7,CCRF-CEM
4830,1,CCRF-CEM ,NME1,CCRF-CEM
4831,1,CCRF-CEM ,NME2,CCRF-CEM
4832,1,CCRF-CEM ,NME3,CCRF-CEM
6509,1,CCRF-CEM ,SLC1A4,CCRF-CEM
6510,1,CCRF-CEM ,SLC1A5,CCRF-CEM
8972,1,CCRF-CEM ,MGAM,CCRF-CEM
10390,1,CCRF-CEM ,CEPT1,CCRF-CEM
56994,1,CCRF-CEM ,CHPT1,CCRF-CEM
10690,1,CCRF-CEM ,FUT9,CCRF-CEM
4524,1,CCRF-CEM ,MTHFR,CCRF-CEM
6554,1,CCRF-CEM ,SLC10A1,CCRF-CEM
6555,1,CCRF-CEM ,SLC10A2,CCRF-CEM
7299,1,CCRF-CEM ,TYR,CCRF-CEM
23600,1,CCRF-CEM ,AMACR,CCRF-CEM
51005,1,CCRF-CEM ,AMDHD2,CCRF-CEM
8884,1,CCRF-CEM ,SLC5A6,CCRF-CEM
5091,1,CCRF-CEM ,PC,CCRF-CEM
3295,0,CCRF-CEM ,HSD17B4,CCRF-CEM
23315,1,CCRF-CEM ,SLC9A8,CCRF-CEM
84679,1,CCRF-CEM ,SLC9A7,CCRF-CEM
2683,1,CCRF-CEM ,B4GALT1,CCRF-CEM
8703,1,CCRF-CEM ,B4GALT3,CCRF-CEM
8704,1,CCRF-CEM ,B4GALT2,CCRF-CEM
9334,1,CCRF-CEM ,B4GALT5,CCRF-CEM
51727,0,CCRF-CEM ,CMPK1,CCRF-CEM
2805,0.995316579,CCRF-CEM ,GOT1,CCRF-CEM
1384,1,CCRF-CEM ,CRAT,CCRF-CEM
1591,1,CCRF-CEM ,CYP24A1,CCRF-CEM
5130,1,CCRF-CEM ,PCYT1A,CCRF-CEM
9468,1,CCRF-CEM ,PCYT1B,CCRF-CEM
3073,1,CCRF-CEM ,HEXA,CCRF-CEM
3074,1,CCRF-CEM ,HEXB,CCRF-CEM
411,1,CCRF-CEM ,ARSB,CCRF-CEM
2650,1,CCRF-CEM ,GCNT1,CCRF-CEM
51301,1,CCRF-CEM ,GCNT4,CCRF-CEM
9245,1,CCRF-CEM ,GCNT3,CCRF-CEM
4942,0.996530088,CCRF-CEM ,OAT,CCRF-CEM
1109,1,CCRF-CEM ,AKR1C4,CCRF-CEM
54490,1,CCRF-CEM ,UGT2B28,CCRF-CEM
54575,1,CCRF-CEM ,UGT1A10,CCRF-CEM
54576,1,CCRF-CEM ,UGT1A8,CCRF-CEM
7363,1,CCRF-CEM ,UGT2B4,CCRF-CEM
6567,1,CCRF-CEM ,SLC16A2,CCRF-CEM
2030,1,CCRF-CEM ,SLC29A1,CCRF-CEM
56301,1,CCRF-CEM ,SLC7A10,CCRF-CEM
6520,1,CCRF-CEM ,SLC3A2,CCRF-CEM
189,1,CCRF-CEM ,AGXT,CCRF-CEM
84649,1,CCRF-CEM ,DGAT2,CCRF-CEM
8694,1,CCRF-CEM ,DGAT1,CCRF-CEM
8611,1,CCRF-CEM ,PLPP1,CCRF-CEM
8612,1,CCRF-CEM ,PLPP2,CCRF-CEM
8613,1,CCRF-CEM ,PLPP3,CCRF-CEM
11001,1,CCRF-CEM ,SLC27A2,CCRF-CEM
7372,0,CCRF-CEM ,UMPS,CCRF-CEM
10599,1,CCRF-CEM ,SLCO1B1,CCRF-CEM
28234,1,CCRF-CEM ,SLCO1B3,CCRF-CEM
6579,1,CCRF-CEM ,SLCO1A2,CCRF-CEM
2356,1,CCRF-CEM ,FPGS,CCRF-CEM
10797,1,CCRF-CEM ,MTHFD2,CCRF-CEM
25902,1,CCRF-CEM ,MTHFD1L,CCRF-CEM
22856,1,CCRF-CEM ,CHSY1,CCRF-CEM
337876,1,CCRF-CEM ,CHSY3,CCRF-CEM
55454,1,CCRF-CEM ,CSGALNACT2,CCRF-CEM
55790,1,CCRF-CEM ,CSGALNACT1,CCRF-CEM
79586,1,CCRF-CEM ,CHPF,CCRF-CEM
23417,1,CCRF-CEM ,MLYCD,CCRF-CEM
2194,0,CCRF-CEM ,FASN,CCRF-CEM
130752,1,CCRF-CEM ,MDH1B,CCRF-CEM
4190,1,CCRF-CEM ,MDH1,CCRF-CEM
58510,0.997486425,CCRF-CEM ,PRODH2,CCRF-CEM
686,1,CCRF-CEM ,BTD,CCRF-CEM
10873,1,CCRF-CEM ,ME3,CCRF-CEM
4200,1,CCRF-CEM ,ME2,CCRF-CEM
5048,1,CCRF-CEM ,PAFAH1B1,CCRF-CEM
5049,1,CCRF-CEM ,PAFAH1B2,CCRF-CEM
5050,1,CCRF-CEM ,PAFAH1B3,CCRF-CEM
5051,1,CCRF-CEM ,PAFAH2,CCRF-CEM
10610,1,CCRF-CEM ,ST6GALNAC2,CCRF-CEM
10331,1,CCRF-CEM ,B3GNT3,CCRF-CEM
79901,1,CCRF-CEM ,CYBRD1,CCRF-CEM
4126,1,CCRF-CEM ,MANBA,CCRF-CEM
1645,1,CCRF-CEM ,AKR1C1,CCRF-CEM
122481,1,CCRF-CEM ,AK7,CCRF-CEM
203,1,CCRF-CEM ,AK1,CCRF-CEM
26289,1,CCRF-CEM ,AK5,CCRF-CEM
1892,1,CCRF-CEM ,ECHS1,CCRF-CEM
3030,1,CCRF-CEM ,HADHA,CCRF-CEM
3032,1,CCRF-CEM ,HADHB,CCRF-CEM
29958,1,CCRF-CEM ,DMGDH,CCRF-CEM
57379,1,CCRF-CEM ,AICDA,CCRF-CEM
10090,1,CCRF-CEM ,UST,CCRF-CEM
240,1,CCRF-CEM ,ALOX5,CCRF-CEM
2990,1,CCRF-CEM ,GUSB,CCRF-CEM
6570,1,CCRF-CEM ,SLC18A1,CCRF-CEM
6571,1,CCRF-CEM ,SLC18A2,CCRF-CEM
253430,1,CCRF-CEM ,IPMK,CCRF-CEM
11254,1,CCRF-CEM ,SLC6A14,CCRF-CEM
34,1,CCRF-CEM ,ACADM,CCRF-CEM
35,1,CCRF-CEM ,ACADS,CCRF-CEM
7498,1,CCRF-CEM ,XDH,CCRF-CEM
31,1,CCRF-CEM ,ACACA,CCRF-CEM
32,1,CCRF-CEM ,ACACB,CCRF-CEM
3176,1,CCRF-CEM ,HNMT,CCRF-CEM
9152,1,CCRF-CEM ,SLC6A5,CCRF-CEM
1807,1,CCRF-CEM ,DPYS,CCRF-CEM
1808,1,CCRF-CEM ,DPYSL2,CCRF-CEM
1809,1,CCRF-CEM ,DPYSL3,CCRF-CEM
56953,1,CCRF-CEM ,NT5M,CCRF-CEM
316,1,CCRF-CEM ,AOX1,CCRF-CEM
22978,1,CCRF-CEM ,NT5C2,CCRF-CEM
3141,1,CCRF-CEM ,HLCS,CCRF-CEM
60386,1,CCRF-CEM ,SLC25A19,CCRF-CEM
9420,1,CCRF-CEM ,CYP7B1,CCRF-CEM
7173,1,CCRF-CEM ,TPO,CCRF-CEM
8897,1,CCRF-CEM ,MTMR3,CCRF-CEM
51268,1,CCRF-CEM ,PIPOX,CCRF-CEM
30,1,CCRF-CEM ,ACAA1,CCRF-CEM
1757,1,CCRF-CEM ,SARDH,CCRF-CEM
6526,1,CCRF-CEM ,SLC5A3,CCRF-CEM
6783,1,CCRF-CEM ,SULT1E1,CCRF-CEM
2588,1,CCRF-CEM ,GALNS,CCRF-CEM
2720,1,CCRF-CEM ,GLB1,CCRF-CEM
4758,1,CCRF-CEM ,NEU1,CCRF-CEM
5476,1,CCRF-CEM ,CTSA,CCRF-CEM
1376,1,CCRF-CEM ,CPT2,CCRF-CEM
64078,1,CCRF-CEM ,SLC28A3,CCRF-CEM
3156,0,CCRF-CEM ,HMGCR,CCRF-CEM
5287,1,CCRF-CEM ,PIK3C2B,CCRF-CEM
85365,1,CCRF-CEM ,ALG2,CCRF-CEM
117283,1,CCRF-CEM ,IP6K3,CCRF-CEM
51447,1,CCRF-CEM ,IP6K2,CCRF-CEM
9807,1,CCRF-CEM ,IP6K1,CCRF-CEM
1962,1,CCRF-CEM ,EHHADH,CCRF-CEM
51,1,CCRF-CEM ,ACOX1,CCRF-CEM
6535,1,CCRF-CEM ,SLC6A8,CCRF-CEM
6537,1,CCRF-CEM ,SLC6A10P,CCRF-CEM
8836,1,CCRF-CEM ,GGH,CCRF-CEM
211,1,CCRF-CEM ,ALAS1,CCRF-CEM
212,1,CCRF-CEM ,ALAS2,CCRF-CEM
23464,1,CCRF-CEM ,GCAT,CCRF-CEM
223,1,CCRF-CEM ,ALDH9A1,CCRF-CEM
6723,1,CCRF-CEM ,SRM,CCRF-CEM
125206,1,CCRF-CEM ,SLC5A10,CCRF-CEM
159963,1,CCRF-CEM ,SLC5A12,CCRF-CEM
200010,1,CCRF-CEM ,SLC5A9,CCRF-CEM
6524,1,CCRF-CEM ,SLC5A2,CCRF-CEM
6548,1,CCRF-CEM ,SLC9A1,CCRF-CEM
6549,1,CCRF-CEM ,SLC9A2,CCRF-CEM
6550,1,CCRF-CEM ,SLC9A3,CCRF-CEM
10164,1,CCRF-CEM ,CHST4,CCRF-CEM
23563,1,CCRF-CEM ,CHST5,CCRF-CEM
4166,1,CCRF-CEM ,CHST6,CCRF-CEM
9435,1,CCRF-CEM ,CHST2,CCRF-CEM
1610,1,CCRF-CEM ,DAO,CCRF-CEM
5226,1,CCRF-CEM ,PGD,CCRF-CEM
4833,1,CCRF-CEM ,NME4,CCRF-CEM
18,1,CCRF-CEM ,ABAT,CCRF-CEM
9942,0.999876746,CCRF-CEM ,XYLB,CCRF-CEM
124935,1,CCRF-CEM ,SLC43A2,CCRF-CEM
8501,1,CCRF-CEM ,SLC43A1,CCRF-CEM
2987,0,CCRF-CEM ,GUK1,CCRF-CEM
