genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,LOXIMVI   ,SLC7A1,LOXIMVI
6542,1,LOXIMVI   ,SLC7A2,LOXIMVI
84889,1,LOXIMVI   ,SLC7A3,LOXIMVI
53,1,LOXIMVI   ,ACP2,LOXIMVI
6822,1,LOXIMVI   ,SULT2A1,LOXIMVI
126129,1,LOXIMVI   ,CPT1C,LOXIMVI
1374,1,LOXIMVI   ,CPT1A,LOXIMVI
1375,1,LOXIMVI   ,CPT1B,LOXIMVI
6528,1,LOXIMVI   ,SLC5A5,LOXIMVI
124583,1,LOXIMVI   ,CANT1,LOXIMVI
64772,1,LOXIMVI   ,ENGASE,LOXIMVI
788,1,LOXIMVI   ,SLC25A20,LOXIMVI
4669,1,LOXIMVI   ,NAGLU,LOXIMVI
412,1,LOXIMVI   ,STS,LOXIMVI
9060,1,LOXIMVI   ,PAPSS2,LOXIMVI
9061,1,LOXIMVI   ,PAPSS1,LOXIMVI
4191,0.970014186,LOXIMVI   ,MDH2,LOXIMVI
1717,0,LOXIMVI   ,DHCR7,LOXIMVI
2180,1,LOXIMVI   ,ACSL1,LOXIMVI
1579,1,LOXIMVI   ,CYP4A11,LOXIMVI
23761,0,LOXIMVI   ,PISD,LOXIMVI
1431,1,LOXIMVI   ,CS,LOXIMVI
6785,1,LOXIMVI   ,ELOVL4,LOXIMVI
2799,1,LOXIMVI   ,GNS,LOXIMVI
218,1,LOXIMVI   ,ALDH3A1,LOXIMVI
220,1,LOXIMVI   ,ALDH1A3,LOXIMVI
221,1,LOXIMVI   ,ALDH3B1,LOXIMVI
222,1,LOXIMVI   ,ALDH3B2,LOXIMVI
10195,1,LOXIMVI   ,ALG3,LOXIMVI
1103,1,LOXIMVI   ,CHAT,LOXIMVI
6515,1,LOXIMVI   ,SLC2A3,LOXIMVI
3177,1,LOXIMVI   ,SLC29A2,LOXIMVI
8705,1,LOXIMVI   ,B3GALT4,LOXIMVI
13,1,LOXIMVI   ,AADAC,LOXIMVI
217,1,LOXIMVI   ,ALDH2,LOXIMVI
219,1,LOXIMVI   ,ALDH1B1,LOXIMVI
4329,0.997457983,LOXIMVI   ,ALDH6A1,LOXIMVI
5832,1,LOXIMVI   ,ALDH18A1,LOXIMVI
7915,1,LOXIMVI   ,ALDH5A1,LOXIMVI
8659,1,LOXIMVI   ,ALDH4A1,LOXIMVI
10201,1,LOXIMVI   ,NME6,LOXIMVI
29922,1,LOXIMVI   ,NME7,LOXIMVI
4830,1,LOXIMVI   ,NME1,LOXIMVI
4831,1,LOXIMVI   ,NME2,LOXIMVI
4832,1,LOXIMVI   ,NME3,LOXIMVI
6509,1,LOXIMVI   ,SLC1A4,LOXIMVI
6510,1,LOXIMVI   ,SLC1A5,LOXIMVI
8972,1,LOXIMVI   ,MGAM,LOXIMVI
10390,1,LOXIMVI   ,CEPT1,LOXIMVI
56994,1,LOXIMVI   ,CHPT1,LOXIMVI
10690,1,LOXIMVI   ,FUT9,LOXIMVI
4524,1,LOXIMVI   ,MTHFR,LOXIMVI
6554,1,LOXIMVI   ,SLC10A1,LOXIMVI
6555,1,LOXIMVI   ,SLC10A2,LOXIMVI
7299,1,LOXIMVI   ,TYR,LOXIMVI
23600,1,LOXIMVI   ,AMACR,LOXIMVI
51005,1,LOXIMVI   ,AMDHD2,LOXIMVI
8884,1,LOXIMVI   ,SLC5A6,LOXIMVI
5091,1,LOXIMVI   ,PC,LOXIMVI
3295,0,LOXIMVI   ,HSD17B4,LOXIMVI
23315,1,LOXIMVI   ,SLC9A8,LOXIMVI
84679,1,LOXIMVI   ,SLC9A7,LOXIMVI
2683,1,LOXIMVI   ,B4GALT1,LOXIMVI
8703,1,LOXIMVI   ,B4GALT3,LOXIMVI
8704,1,LOXIMVI   ,B4GALT2,LOXIMVI
9334,1,LOXIMVI   ,B4GALT5,LOXIMVI
51727,0,LOXIMVI   ,CMPK1,LOXIMVI
2805,0.997369959,LOXIMVI   ,GOT1,LOXIMVI
1384,1,LOXIMVI   ,CRAT,LOXIMVI
1591,1,LOXIMVI   ,CYP24A1,LOXIMVI
5130,1,LOXIMVI   ,PCYT1A,LOXIMVI
9468,1,LOXIMVI   ,PCYT1B,LOXIMVI
3073,1,LOXIMVI   ,HEXA,LOXIMVI
3074,1,LOXIMVI   ,HEXB,LOXIMVI
411,1,LOXIMVI   ,ARSB,LOXIMVI
2650,1,LOXIMVI   ,GCNT1,LOXIMVI
51301,1,LOXIMVI   ,GCNT4,LOXIMVI
9245,1,LOXIMVI   ,GCNT3,LOXIMVI
