genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,A549     ,SLC7A1,A549
6542,1,A549     ,SLC7A2,A549
84889,1,A549     ,SLC7A3,A549
53,1,A549     ,ACP2,A549
6822,1,A549     ,SULT2A1,A549
126129,1,A549     ,CPT1C,A549
1374,1,A549     ,CPT1A,A549
1375,1,A549     ,CPT1B,A549
6528,1,A549     ,SLC5A5,A549
124583,1,A549     ,CANT1,A549
64772,1,A549     ,ENGASE,A549
788,1,A549     ,SLC25A20,A549
4669,1,A549     ,NAGLU,A549
412,1,A549     ,STS,A549
9060,1,A549     ,PAPSS2,A549
9061,1,A549     ,PAPSS1,A549
4191,0.974379437,A549     ,MDH2,A549
1717,0,A549     ,DHCR7,A549
2180,1,A549     ,ACSL1,A549
1579,1,A549     ,CYP4A11,A549
23761,0,A549     ,PISD,A549
1431,1,A549     ,CS,A549
6785,1,A549     ,ELOVL4,A549
2799,1,A549     ,GNS,A549
218,1,A549     ,ALDH3A1,A549
220,1,A549     ,ALDH1A3,A549
221,1,A549     ,ALDH3B1,A549
222,1,A549     ,ALDH3B2,A549
10195,1,A549     ,ALG3,A549
1103,1,A549     ,CHAT,A549
6515,1,A549     ,SLC2A3,A549
3177,1,A549     ,SLC29A2,A549
8705,1,A549     ,B3GALT4,A549
13,1,A549     ,AADAC,A549
217,1,A549     ,ALDH2,A549
219,1,A549     ,ALDH1B1,A549
4329,0.991985006,A549     ,ALDH6A1,A549
5832,1,A549     ,ALDH18A1,A549
7915,1,A549     ,ALDH5A1,A549
8659,1,A549     ,ALDH4A1,A549
10201,1,A549     ,NME6,A549
29922,1,A549     ,NME7,A549
4830,1,A549     ,NME1,A549
4831,1,A549     ,NME2,A549
4832,1,A549     ,NME3,A549
6509,1,A549     ,SLC1A4,A549
6510,1,A549     ,SLC1A5,A549
8972,1,A549     ,MGAM,A549
10390,1,A549     ,CEPT1,A549
56994,1,A549     ,CHPT1,A549
10690,1,A549     ,FUT9,A549
4524,1,A549     ,MTHFR,A549
6554,1,A549     ,SLC10A1,A549
6555,1,A549     ,SLC10A2,A549
7299,1,A549     ,TYR,A549
23600,1,A549     ,AMACR,A549
51005,1,A549     ,AMDHD2,A549
8884,1,A549     ,SLC5A6,A549
5091,1,A549     ,PC,A549
3295,0,A549     ,HSD17B4,A549
23315,1,A549     ,SLC9A8,A549
84679,1,A549     ,SLC9A7,A549
2683,1,A549     ,B4GALT1,A549
8703,1,A549     ,B4GALT3,A549
8704,1,A549     ,B4GALT2,A549
9334,1,A549     ,B4GALT5,A549
51727,0,A549     ,CMPK1,A549
2805,0.996219495,A549     ,GOT1,A549
1384,1,A549     ,CRAT,A549
1591,1,A549     ,CYP24A1,A549
5130,1,A549     ,PCYT1A,A549
9468,1,A549     ,PCYT1B,A549
3073,1,A549     ,HEXA,A549
3074,1,A549     ,HEXB,A549
411,1,A549     ,ARSB,A549
2650,1,A549     ,GCNT1,A549
51301,1,A549     ,GCNT4,A549
9245,1,A549     ,GCNT3,A549
4942,0.996585413,A549     ,OAT,A549
1109,1,A549     ,AKR1C4,A549
54490,1,A549     ,UGT2B28,A549
54575,1,A549     ,UGT1A10,A549
54576,1,A549     ,UGT1A8,A549
7363,1,A549     ,UGT2B4,A549
6567,1,A549     ,SLC16A2,A549
2030,1,A549     ,SLC29A1,A549
56301,1,A549     ,SLC7A10,A549
6520,1,A549     ,SLC3A2,A549
189,1,A549     ,AGXT,A549
84649,1,A549     ,DGAT2,A549
8694,1,A549     ,DGAT1,A549
8611,1,A549     ,PLPP1,A549
8612,1,A549     ,PLPP2,A549
8613,1,A549     ,PLPP3,A549
11001,1,A549     ,SLC27A2,A549
7372,0,A549     ,UMPS,A549
10599,1,A549     ,SLCO1B1,A549
28234,1,A549     ,SLCO1B3,A549
6579,1,A549     ,SLCO1A2,A549
2356,1,A549     ,FPGS,A549
10797,1,A549     ,MTHFD2,A549
25902,1,A549     ,MTHFD1L,A549
22856,1,A549     ,CHSY1,A549
337876,1,A549     ,CHSY3,A549
55454,1,A549     ,CSGALNACT2,A549
55790,1,A549     ,CSGALNACT1,A549
79586,1,A549     ,CHPF,A549
23417,1,A549     ,MLYCD,A549
2194,0,A549     ,FASN,A549
130752,1,A549     ,MDH1B,A549
4190,1,A549     ,MDH1,A549
58510,0.997486425,A549     ,PRODH2,A549
686,1,A549     ,BTD,A549
10873,1,A549     ,ME3,A549
4200,1,A549     ,ME2,A549
5048,1,A549     ,PAFAH1B1,A549
5049,1,A549     ,PAFAH1B2,A549
5050,1,A549     ,PAFAH1B3,A549
5051,1,A549     ,PAFAH2,A549
10610,1,A549     ,ST6GALNAC2,A549
10331,1,A549     ,B3GNT3,A549
79901,1,A549     ,CYBRD1,A549
4126,1,A549     ,MANBA,A549
1645,1,A549     ,AKR1C1,A549
122481,1,A549     ,AK7,A549
203,1,A549     ,AK1,A549
26289,1,A549     ,AK5,A549
1892,1,A549     ,ECHS1,A549
3030,1,A549     ,HADHA,A549
3032,1,A549     ,HADHB,A549
29958,1,A549     ,DMGDH,A549
57379,1,A549     ,AICDA,A549
10090,1,A549     ,UST,A549
240,1,A549     ,ALOX5,A549
2990,1,A549     ,GUSB,A549
6570,1,A549     ,SLC18A1,A549
6571,1,A549     ,SLC18A2,A549
253430,1,A549     ,IPMK,A549
11254,1,A549     ,SLC6A14,A549
34,1,A549     ,ACADM,A549
35,1,A549     ,ACADS,A549
7498,1,A549     ,XDH,A549
31,1,A549     ,ACACA,A549
32,1,A549     ,ACACB,A549
3176,1,A549     ,HNMT,A549
9152,1,A549     ,SLC6A5,A549
1807,1,A549     ,DPYS,A549
1808,1,A549     ,DPYSL2,A549
1809,1,A549     ,DPYSL3,A549
56953,1,A549     ,NT5M,A549
316,1,A549     ,AOX1,A549
22978,1,A549     ,NT5C2,A549
3141,1,A549     ,HLCS,A549
60386,1,A549     ,SLC25A19,A549
9420,1,A549     ,CYP7B1,A549
7173,1,A549     ,TPO,A549
8897,1,A549     ,MTMR3,A549
51268,1,A549     ,PIPOX,A549
30,1,A549     ,ACAA1,A549
1757,1,A549     ,SARDH,A549
6526,1,A549     ,SLC5A3,A549
6783,1,A549     ,SULT1E1,A549
2588,1,A549     ,GALNS,A549
2720,1,A549     ,GLB1,A549
4758,1,A549     ,NEU1,A549
5476,1,A549     ,CTSA,A549
1376,1,A549     ,CPT2,A549
64078,1,A549     ,SLC28A3,A549
3156,0,A549     ,HMGCR,A549
5287,1,A549     ,PIK3C2B,A549
85365,1,A549     ,ALG2,A549
117283,1,A549     ,IP6K3,A549
51447,1,A549     ,IP6K2,A549
9807,1,A549     ,IP6K1,A549
1962,1,A549     ,EHHADH,A549
51,1,A549     ,ACOX1,A549
6535,1,A549     ,SLC6A8,A549
6537,1,A549     ,SLC6A10P,A549
8836,1,A549     ,GGH,A549
211,1,A549     ,ALAS1,A549
212,1,A549     ,ALAS2,A549
23464,1,A549     ,GCAT,A549
223,1,A549     ,ALDH9A1,A549
6723,1,A549     ,SRM,A549
125206,1,A549     ,SLC5A10,A549
159963,1,A549     ,SLC5A12,A549
200010,1,A549     ,SLC5A9,A549
6524,1,A549     ,SLC5A2,A549
6548,1,A549     ,SLC9A1,A549
6549,1,A549     ,SLC9A2,A549
6550,1,A549     ,SLC9A3,A549
10164,1,A549     ,CHST4,A549
23563,1,A549     ,CHST5,A549
4166,1,A549     ,CHST6,A549
9435,1,A549     ,CHST2,A549
1610,1,A549     ,DAO,A549
5226,1,A549     ,PGD,A549
4833,1,A549     ,NME4,A549
18,1,A549     ,ABAT,A549
9942,0.999880436,A549     ,XYLB,A549
124935,1,A549     ,SLC43A2,A549
8501,1,A549     ,SLC43A1,A549
2987,0,A549     ,GUK1,A549
11046,1,A549     ,SLC35D2,A549
23443,1,A549     ,SLC35A3,A549
84912,1,A549     ,SLC35B4,A549
19,1,A549     ,ABCA1,A549
6578,1,A549     ,SLCO2A1,A549
10087,1,A549     ,CERT1,A549
790,0,A549     ,CAD,A549
23556,1,A549     ,PIGN,A549
1588,1,A549     ,CYP19A1,A549
1571,1,A549     ,CYP2E1,A549
6583,1,A549     ,SLC22A4,A549
22928,1,A549     ,SEPHS2,A549
22929,1,A549     ,SEPHS1,A549
4953,1,A549     ,ODC1,A549
8566,1,A549     ,PDXK,A549
54480,1,A549     ,CHPF2,A549
9380,1,A549     ,GRHPR,A549
3612,1,A549     ,IMPA1,A549
3613,1,A549     ,IMPA2,A549
9415,1,A549     ,FADS2,A549
6566,0.991491836,A549     ,SLC16A1,A549
7355,1,A549     ,SLC35A2,A549
50814,0,A549     ,NSDHL,A549
9563,1,A549     ,H6PD,A549
4363,1,A549     ,ABCC1,A549
4860,1,A549     ,PNP,A549
3284,1,A549     ,HSD3B2,A549
3620,1,A549     ,IDO1,A549
10846,1,A549     ,PDE10A,A549
50940,1,A549     ,PDE11A,A549
5136,1,A549     ,PDE1A,A549
5137,1,A549     ,PDE1C,A549
5138,1,A549     ,PDE2A,A549
5139,1,A549     ,PDE3A,A549
5140,1,A549     ,PDE3B,A549
5145,1,A549     ,PDE6A,A549
5146,1,A549     ,PDE6C,A549
5147,1,A549     ,PDE6D,A549
5148,1,A549     ,PDE6G,A549
5149,1,A549     ,PDE6H,A549
5152,1,A549     ,PDE9A,A549
5153,1,A549     ,PDE1B,A549
5158,1,A549     ,PDE6B,A549
8654,1,A549     ,PDE5A,A549
160287,1,A549     ,LDHAL6A,A549
3939,1,A549     ,LDHA,A549
3945,1,A549     ,LDHB,A549
3948,1,A549     ,LDHC,A549
55293,1,A549     ,UEVLD,A549
92483,1,A549     ,LDHAL6B,A549
343,1,A549     ,AQP8,A549
113026,1,A549     ,PLCD3,A549
23007,1,A549     ,PLCH1,A549
23236,1,A549     ,PLCB1,A549
257068,1,A549     ,PLCXD2,A549
51196,1,A549     ,PLCE1,A549
5330,1,A549     ,PLCB2,A549
5331,1,A549     ,PLCB3,A549
5332,1,A549     ,PLCB4,A549
5333,1,A549     ,PLCD1,A549
5334,1,A549     ,PLCL1,A549
5335,1,A549     ,PLCG1,A549
