genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,ADR-RES,SLC7A1,ADR-RES
6542,1,ADR-RES,SLC7A2,ADR-RES
84889,1,ADR-RES,SLC7A3,ADR-RES
53,1,ADR-RES,ACP2,ADR-RES
6822,1,ADR-RES,SULT2A1,ADR-RES
126129,1,ADR-RES,CPT1C,ADR-RES
1374,1,ADR-RES,CPT1A,ADR-RES
1375,1,ADR-RES,CPT1B,ADR-RES
6528,1,ADR-RES,SLC5A5,ADR-RES
124583,1,ADR-RES,CANT1,ADR-RES
64772,1,ADR-RES,ENGASE,ADR-RES
788,1,ADR-RES,SLC25A20,ADR-RES
4669,1,ADR-RES,NAGLU,ADR-RES
412,1,ADR-RES,STS,ADR-RES
9060,1,ADR-RES,PAPSS2,ADR-RES
9061,1,ADR-RES,PAPSS1,ADR-RES
4191,0.970705477,ADR-RES,MDH2,ADR-RES
1717,0,ADR-RES,DHCR7,ADR-RES
2180,1,ADR-RES,ACSL1,ADR-RES
1579,1,ADR-RES,CYP4A11,ADR-RES
23761,0,ADR-RES,PISD,ADR-RES
1431,1,ADR-RES,CS,ADR-RES
6785,1,ADR-RES,ELOVL4,ADR-RES
2799,1,ADR-RES,GNS,ADR-RES
218,1,ADR-RES,ALDH3A1,ADR-RES
220,1,ADR-RES,ALDH1A3,ADR-RES
221,1,ADR-RES,ALDH3B1,ADR-RES
222,1,ADR-RES,ALDH3B2,ADR-RES
10195,1,ADR-RES,ALG3,ADR-RES
1103,1,ADR-RES,CHAT,ADR-RES
6515,1,ADR-RES,SLC2A3,ADR-RES
3177,1,ADR-RES,SLC29A2,ADR-RES
8705,1,ADR-RES,B3GALT4,ADR-RES
13,1,ADR-RES,AADAC,ADR-RES
217,1,ADR-RES,ALDH2,ADR-RES
219,1,ADR-RES,ALDH1B1,ADR-RES
4329,0.981642375,ADR-RES,ALDH6A1,ADR-RES
5832,1,ADR-RES,ALDH18A1,ADR-RES
7915,1,ADR-RES,ALDH5A1,ADR-RES
8659,1,ADR-RES,ALDH4A1,ADR-RES
10201,1,ADR-RES,NME6,ADR-RES
29922,1,ADR-RES,NME7,ADR-RES
4830,1,ADR-RES,NME1,ADR-RES
4831,1,ADR-RES,NME2,ADR-RES
4832,1,ADR-RES,NME3,ADR-RES
6509,1,ADR-RES,SLC1A4,ADR-RES
6510,1,ADR-RES,SLC1A5,ADR-RES
8972,1,ADR-RES,MGAM,ADR-RES
10390,1,ADR-RES,CEPT1,ADR-RES
56994,1,ADR-RES,CHPT1,ADR-RES
10690,1,ADR-RES,FUT9,ADR-RES
4524,1,ADR-RES,MTHFR,ADR-RES
6554,1,ADR-RES,SLC10A1,ADR-RES
6555,1,ADR-RES,SLC10A2,ADR-RES
7299,1,ADR-RES,TYR,ADR-RES
23600,1,ADR-RES,AMACR,ADR-RES
51005,1,ADR-RES,AMDHD2,ADR-RES
8884,1,ADR-RES,SLC5A6,ADR-RES
