genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,DU-145,SLC7A1,DU-145
6542,1,DU-145,SLC7A2,DU-145
84889,1,DU-145,SLC7A3,DU-145
53,1,DU-145,ACP2,DU-145
6822,1,DU-145,SULT2A1,DU-145
126129,1,DU-145,CPT1C,DU-145
1374,1,DU-145,CPT1A,DU-145
1375,1,DU-145,CPT1B,DU-145
6528,1,DU-145,SLC5A5,DU-145
124583,1,DU-145,CANT1,DU-145
64772,1,DU-145,ENGASE,DU-145
788,1,DU-145,SLC25A20,DU-145
4669,1,DU-145,NAGLU,DU-145
412,1,DU-145,STS,DU-145
9060,1,DU-145,PAPSS2,DU-145
9061,1,DU-145,PAPSS1,DU-145
4191,0.99501441,DU-145,MDH2,DU-145
1717,0,DU-145,DHCR7,DU-145
2180,1,DU-145,ACSL1,DU-145
1579,1,DU-145,CYP4A11,DU-145
23761,0,DU-145,PISD,DU-145
1431,1,DU-145,CS,DU-145
6785,1,DU-145,ELOVL4,DU-145
2799,1,DU-145,GNS,DU-145
218,1,DU-145,ALDH3A1,DU-145
220,1,DU-145,ALDH1A3,DU-145
221,1,DU-145,ALDH3B1,DU-145
222,1,DU-145,ALDH3B2,DU-145
10195,1,DU-145,ALG3,DU-145
1103,1,DU-145,CHAT,DU-145
6515,1,DU-145,SLC2A3,DU-145
3177,1,DU-145,SLC29A2,DU-145
8705,1,DU-145,B3GALT4,DU-145
13,1,DU-145,AADAC,DU-145
217,1,DU-145,ALDH2,DU-145
219,1,DU-145,ALDH1B1,DU-145
4329,0.971259641,DU-145,ALDH6A1,DU-145
5832,1,DU-145,ALDH18A1,DU-145
7915,1,DU-145,ALDH5A1,DU-145
8659,1,DU-145,ALDH4A1,DU-145
10201,1,DU-145,NME6,DU-145
29922,1,DU-145,NME7,DU-145
4830,1,DU-145,NME1,DU-145
4831,1,DU-145,NME2,DU-145
4832,1,DU-145,NME3,DU-145
6509,1,DU-145,SLC1A4,DU-145
6510,1,DU-145,SLC1A5,DU-145
8972,1,DU-145,MGAM,DU-145
10390,1,DU-145,CEPT1,DU-145
56994,1,DU-145,CHPT1,DU-145
10690,1,DU-145,FUT9,DU-145
4524,1,DU-145,MTHFR,DU-145
6554,1,DU-145,SLC10A1,DU-145
6555,1,DU-145,SLC10A2,DU-145
7299,1,DU-145,TYR,DU-145
23600,1,DU-145,AMACR,DU-145
51005,1,DU-145,AMDHD2,DU-145
8884,1,DU-145,SLC5A6,DU-145
5091,1,DU-145,PC,DU-145
3295,0,DU-145,HSD17B4,DU-145
23315,1,DU-145,SLC9A8,DU-145
84679,1,DU-145,SLC9A7,DU-145
2683,1,DU-145,B4GALT1,DU-145
8703,1,DU-145,B4GALT3,DU-145
8704,1,DU-145,B4GALT2,DU-145
9334,1,DU-145,B4GALT5,DU-145
51727,0,DU-145,CMPK1,DU-145
2805,0.989235174,DU-145,GOT1,DU-145
1384,1,DU-145,CRAT,DU-145
1591,1,DU-145,CYP24A1,DU-145
5130,1,DU-145,PCYT1A,DU-145
9468,1,DU-145,PCYT1B,DU-145
3073,1,DU-145,HEXA,DU-145
3074,1,DU-145,HEXB,DU-145
411,1,DU-145,ARSB,DU-145
2650,1,DU-145,GCNT1,DU-145
51301,1,DU-145,GCNT4,DU-145
9245,1,DU-145,GCNT3,DU-145
4942,0.996622698,DU-145,OAT,DU-145
1109,1,DU-145,AKR1C4,DU-145
54490,1,DU-145,UGT2B28,DU-145
54575,1,DU-145,UGT1A10,DU-145
54576,1,DU-145,UGT1A8,DU-145
7363,1,DU-145,UGT2B4,DU-145
6567,1,DU-145,SLC16A2,DU-145
2030,1,DU-145,SLC29A1,DU-145
56301,1,DU-145,SLC7A10,DU-145
6520,1,DU-145,SLC3A2,DU-145
189,1,DU-145,AGXT,DU-145
84649,1,DU-145,DGAT2,DU-145
8694,1,DU-145,DGAT1,DU-145
8611,1,DU-145,PLPP1,DU-145
8612,1,DU-145,PLPP2,DU-145
8613,1,DU-145,PLPP3,DU-145
11001,1,DU-145,SLC27A2,DU-145
7372,0,DU-145,UMPS,DU-145
10599,1,DU-145,SLCO1B1,DU-145
28234,1,DU-145,SLCO1B3,DU-145
6579,1,DU-145,SLCO1A2,DU-145
2356,1,DU-145,FPGS,DU-145
10797,1,DU-145,MTHFD2,DU-145
25902,1,DU-145,MTHFD1L,DU-145
22856,1,DU-145,CHSY1,DU-145
337876,1,DU-145,CHSY3,DU-145
55454,1,DU-145,CSGALNACT2,DU-145
55790,1,DU-145,CSGALNACT1,DU-145
79586,1,DU-145,CHPF,DU-145
23417,1,DU-145,MLYCD,DU-145
2194,0,DU-145,FASN,DU-145
130752,1,DU-145,MDH1B,DU-145
4190,1,DU-145,MDH1,DU-145
58510,0.997636395,DU-145,PRODH2,DU-145
686,1,DU-145,BTD,DU-145
10873,1,DU-145,ME3,DU-145
4200,1,DU-145,ME2,DU-145
5048,1,DU-145,PAFAH1B1,DU-145
5049,1,DU-145,PAFAH1B2,DU-145
5050,1,DU-145,PAFAH1B3,DU-145
5051,1,DU-145,PAFAH2,DU-145
10610,1,DU-145,ST6GALNAC2,DU-145
10331,1,DU-145,B3GNT3,DU-145
79901,1,DU-145,CYBRD1,DU-145
4126,1,DU-145,MANBA,DU-145
1645,1,DU-145,AKR1C1,DU-145
122481,1,DU-145,AK7,DU-145
203,1,DU-145,AK1,DU-145
26289,1,DU-145,AK5,DU-145
1892,1,DU-145,ECHS1,DU-145
3030,1,DU-145,HADHA,DU-145
3032,1,DU-145,HADHB,DU-145
29958,1,DU-145,DMGDH,DU-145
57379,1,DU-145,AICDA,DU-145
10090,1,DU-145,UST,DU-145
240,1,DU-145,ALOX5,DU-145
2990,1,DU-145,GUSB,DU-145
6570,1,DU-145,SLC18A1,DU-145
6571,1,DU-145,SLC18A2,DU-145
253430,1,DU-145,IPMK,DU-145
11254,1,DU-145,SLC6A14,DU-145
34,1,DU-145,ACADM,DU-145
35,1,DU-145,ACADS,DU-145
7498,1,DU-145,XDH,DU-145
31,1,DU-145,ACACA,DU-145
32,1,DU-145,ACACB,DU-145
3176,1,DU-145,HNMT,DU-145
9152,1,DU-145,SLC6A5,DU-145
1807,1,DU-145,DPYS,DU-145
1808,1,DU-145,DPYSL2,DU-145
1809,1,DU-145,DPYSL3,DU-145
56953,1,DU-145,NT5M,DU-145
316,1,DU-145,AOX1,DU-145
22978,1,DU-145,NT5C2,DU-145
3141,1,DU-145,HLCS,DU-145
60386,1,DU-145,SLC25A19,DU-145
9420,1,DU-145,CYP7B1,DU-145
7173,1,DU-145,TPO,DU-145
8897,1,DU-145,MTMR3,DU-145
51268,1,DU-145,PIPOX,DU-145
30,1,DU-145,ACAA1,DU-145
1757,1,DU-145,SARDH,DU-145
6526,1,DU-145,SLC5A3,DU-145
6783,1,DU-145,SULT1E1,DU-145
2588,1,DU-145,GALNS,DU-145
2720,1,DU-145,GLB1,DU-145
4758,1,DU-145,NEU1,DU-145
