genelistrounded,grRatio,CL,Gene,Cell Line
6541,1,786-0 ,SLC7A1,786-0
6542,1,786-0 ,SLC7A2,786-0
84889,1,786-0 ,SLC7A3,786-0
53,1,786-0 ,ACP2,786-0
6822,1,786-0 ,SULT2A1,786-0
126129,1,786-0 ,CPT1C,786-0
1374,1,786-0 ,CPT1A,786-0
1375,1,786-0 ,CPT1B,786-0
6528,1,786-0 ,SLC5A5,786-0
124583,1,786-0 ,CANT1,786-0
64772,1,786-0 ,ENGASE,786-0
788,1,786-0 ,SLC25A20,786-0
4669,1,786-0 ,NAGLU,786-0
412,1,786-0 ,STS,786-0
9060,1,786-0 ,PAPSS2,786-0
9061,1,786-0 ,PAPSS1,786-0
4191,0.964936072,786-0 ,MDH2,786-0
1717,0,786-0 ,DHCR7,786-0
2180,1,786-0 ,ACSL1,786-0
1579,1,786-0 ,CYP4A11,786-0
23761,0,786-0 ,PISD,786-0
1431,1,786-0 ,CS,786-0
6785,1,786-0 ,ELOVL4,786-0
2799,1,786-0 ,GNS,786-0
218,1,786-0 ,ALDH3A1,786-0
220,1,786-0 ,ALDH1A3,786-0
221,1,786-0 ,ALDH3B1,786-0
222,1,786-0 ,ALDH3B2,786-0
10195,1,786-0 ,ALG3,786-0
1103,1,786-0 ,CHAT,786-0
6515,1,786-0 ,SLC2A3,786-0
3177,1,786-0 ,SLC29A2,786-0
8705,1,786-0 ,B3GALT4,786-0
13,1,786-0 ,AADAC,786-0
217,1,786-0 ,ALDH2,786-0
219,1,786-0 ,ALDH1B1,786-0
4329,0.991651663,786-0 ,ALDH6A1,786-0
5832,1,786-0 ,ALDH18A1,786-0
7915,1,786-0 ,ALDH5A1,786-0
8659,1,786-0 ,ALDH4A1,786-0
10201,1,786-0 ,NME6,786-0
29922,1,786-0 ,NME7,786-0
4830,1,786-0 ,NME1,786-0
4831,1,786-0 ,NME2,786-0
4832,1,786-0 ,NME3,786-0
6509,1,786-0 ,SLC1A4,786-0
6510,1,786-0 ,SLC1A5,786-0
8972,1,786-0 ,MGAM,786-0
10390,1,786-0 ,CEPT1,786-0
56994,1,786-0 ,CHPT1,786-0
10690,1,786-0 ,FUT9,786-0
4524,1,786-0 ,MTHFR,786-0
6554,1,786-0 ,SLC10A1,786-0
6555,1,786-0 ,SLC10A2,786-0
7299,1,786-0 ,TYR,786-0
23600,1,786-0 ,AMACR,786-0
51005,1,786-0 ,AMDHD2,786-0
8884,1,786-0 ,SLC5A6,786-0
5091,1,786-0 ,PC,786-0
3295,0,786-0 ,HSD17B4,786-0
23315,1,786-0 ,SLC9A8,786-0
84679,1,786-0 ,SLC9A7,786-0
2683,1,786-0 ,B4GALT1,786-0
8703,1,786-0 ,B4GALT3,786-0
8704,1,786-0 ,B4GALT2,786-0
9334,1,786-0 ,B4GALT5,786-0
51727,0,786-0 ,CMPK1,786-0
2805,0.996803521,786-0 ,GOT1,786-0
1384,1,786-0 ,CRAT,786-0
1591,1,786-0 ,CYP24A1,786-0
5130,1,786-0 ,PCYT1A,786-0
9468,1,786-0 ,PCYT1B,786-0
3073,1,786-0 ,HEXA,786-0
3074,1,786-0 ,HEXB,786-0
411,1,786-0 ,ARSB,786-0
2650,1,786-0 ,GCNT1,786-0
51301,1,786-0 ,GCNT4,786-0
9245,1,786-0 ,GCNT3,786-0
4942,0.996521294,786-0 ,OAT,786-0
1109,1,786-0 ,AKR1C4,786-0
54490,1,786-0 ,UGT2B28,786-0
54575,1,786-0 ,UGT1A10,786-0
54576,1,786-0 ,UGT1A8,786-0
7363,1,786-0 ,UGT2B4,786-0
6567,1,786-0 ,SLC16A2,786-0
2030,1,786-0 ,SLC29A1,786-0
56301,1,786-0 ,SLC7A10,786-0
6520,1,786-0 ,SLC3A2,786-0
189,1,786-0 ,AGXT,786-0
84649,1,786-0 ,DGAT2,786-0
8694,1,786-0 ,DGAT1,786-0
8611,1,786-0 ,PLPP1,786-0
8612,1,786-0 ,PLPP2,786-0
8613,1,786-0 ,PLPP3,786-0
11001,1,786-0 ,SLC27A2,786-0
7372,0,786-0 ,UMPS,786-0
10599,1,786-0 ,SLCO1B1,786-0
28234,1,786-0 ,SLCO1B3,786-0
6579,1,786-0 ,SLCO1A2,786-0
2356,1,786-0 ,FPGS,786-0
10797,1,786-0 ,MTHFD2,786-0
25902,1,786-0 ,MTHFD1L,786-0
22856,1,786-0 ,CHSY1,786-0
337876,1,786-0 ,CHSY3,786-0
55454,1,786-0 ,CSGALNACT2,786-0
55790,1,786-0 ,CSGALNACT1,786-0
79586,1,786-0 ,CHPF,786-0
23417,1,786-0 ,MLYCD,786-0
2194,0,786-0 ,FASN,786-0
130752,1,786-0 ,MDH1B,786-0
4190,1,786-0 ,MDH1,786-0
58510,0.997486425,786-0 ,PRODH2,786-0
686,1,786-0 ,BTD,786-0
10873,1,786-0 ,ME3,786-0
4200,1,786-0 ,ME2,786-0
5048,1,786-0 ,PAFAH1B1,786-0
5049,1,786-0 ,PAFAH1B2,786-0
5050,1,786-0 ,PAFAH1B3,786-0
5051,1,786-0 ,PAFAH2,786-0
10610,1,786-0 ,ST6GALNAC2,786-0
10331,1,786-0 ,B3GNT3,786-0
79901,1,786-0 ,CYBRD1,786-0
4126,1,786-0 ,MANBA,786-0
1645,1,786-0 ,AKR1C1,786-0
122481,1,786-0 ,AK7,786-0
203,1,786-0 ,AK1,786-0
26289,1,786-0 ,AK5,786-0
1892,1,786-0 ,ECHS1,786-0
3030,1,786-0 ,HADHA,786-0
3032,1,786-0 ,HADHB,786-0
29958,1,786-0 ,DMGDH,786-0
57379,1,786-0 ,AICDA,786-0
10090,1,786-0 ,UST,786-0
240,1,786-0 ,ALOX5,786-0
2990,1,786-0 ,GUSB,786-0
6570,1,786-0 ,SLC18A1,786-0
6571,1,786-0 ,SLC18A2,786-0
253430,1,786-0 ,IPMK,786-0
11254,1,786-0 ,SLC6A14,786-0
34,1,786-0 ,ACADM,786-0
35,1,786-0 ,ACADS,786-0
7498,1,786-0 ,XDH,786-0
31,1,786-0 ,ACACA,786-0
32,1,786-0 ,ACACB,786-0
3176,1,786-0 ,HNMT,786-0
9152,1,786-0 ,SLC6A5,786-0
1807,1,786-0 ,DPYS,786-0
1808,1,786-0 ,DPYSL2,786-0
1809,1,786-0 ,DPYSL3,786-0
56953,1,786-0 ,NT5M,786-0
316,1,786-0 ,AOX1,786-0
22978,1,786-0 ,NT5C2,786-0
3141,1,786-0 ,HLCS,786-0
60386,1,786-0 ,SLC25A19,786-0
9420,1,786-0 ,CYP7B1,786-0
7173,1,786-0 ,TPO,786-0
8897,1,786-0 ,MTMR3,786-0
51268,1,786-0 ,PIPOX,786-0
30,1,786-0 ,ACAA1,786-0
1757,1,786-0 ,SARDH,786-0
6526,1,786-0 ,SLC5A3,786-0
6783,1,786-0 ,SULT1E1,786-0
2588,1,786-0 ,GALNS,786-0
2720,1,786-0 ,GLB1,786-0
4758,1,786-0 ,NEU1,786-0
5476,1,786-0 ,CTSA,786-0
1376,1,786-0 ,CPT2,786-0
64078,1,786-0 ,SLC28A3,786-0
3156,0,786-0 ,HMGCR,786-0
5287,1,786-0 ,PIK3C2B,786-0
85365,1,786-0 ,ALG2,786-0
117283,1,786-0 ,IP6K3,786-0
