GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
AACS_CCRF-CEM,-0.01419125,0,1.910491273,0,0,0.009161,0.349738733,0,0,0.0035751,0.624924056,0,0.026905,0.024750759,0,0.915595586,0,1.8944847,0,0.453072267,0.296747214,0,0,0,0.0099666,0.00867225,4.77E-05,0.010848143,0.010751,0,-0.9117466,0,0,0.81509175,-0.0019208,0.0015965,0,0,0.001549143,-4.66E-05,1.959898074,0,8.92E-05,0,0.01063,0,0.006882091,0.009420762,0.047835,0.499370698,0,1.68592208,0.097937897,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,7.28,BW,NO,0.02447691,24.33333333,NEUTRAL,GAIN,NEUTRAL
AACS_HL-60,0.018259,0,1.274116364,0,0,0.010178476,0.7187708,0,0,0.0049807,0.577361611,0,0.0295504,0.09520531,0,0.966495448,0,-2.1374159,0,0.545883367,0.529489893,0,0,0,0.0094719,0.009525,4.50E-05,0.010744238,0.012545,0,1.065253,0,0,0.938478,-0.002120533,-2.0984925,0,0,0.001701429,7.67E-05,0.991395111,0,9.79E-05,0,0.010582667,0,0.007558727,0.009410667,0.047622,-0.051432698,0,0.84591444,0.011953138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,6.511,BW,NO,0.02447691,24.33333333,NEUTRAL,GAIN,NEUTRAL
AACS_K-562,0.024270833,0,1.274109333,0,0,0.010811857,0.4142246,0,0,0.0173776,0.347448139,0,0.0311968,0.159816897,0,1.038455379,0,-2.1278168,0,0.7197503,0.661165679,0,0,0,0.0091638,0.010056,4.33E-05,0.010679476,0.013662,0,1.03801015,0,0,1.5107225,-0.0022448,0.001452,0,0,0.001796286,8.10E-05,-0.723561593,0,0.000103354,0,0,0,0.007979909,0.009404381,0,-0.053448535,0,0.84590968,-0.012131241,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,7.412,BW,NO,0.02447691,24.33333333,NEUTRAL,GAIN,NEUTRAL
AACS_MOLT-4,0.024692667,0,1.274170667,0,0,0.009111071,0.344138733,0,0,0.006582,0.665378083,0,0.02677604,0,0,0.939133414,0,-2.1450888,0,0.483748933,0.368642714,0,0,0,0.0099909,0.008631,4.78E-05,0.01085319,0.0106635,0,1.0660561,0,0,0.69559325,-0.001911067,-0.0073398,0,0,0.001541714,6.95E-05,-0.433144111,0,8.87E-05,0,0.010632222,0,0.006849182,0.009421333,0.047845,0.011001628,0,0.84795704,0.014230138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,7.616,BW,NO,0.02447691,24.33333333,NEUTRAL,GAIN,NEUTRAL
AACS_RPMI-8226,0.020033333,0,1.910482848,0,0,0.00992,0.518261267,0,0,0.0049811,0.219171833,0,0.0288782,0.134684276,0,0.962688345,0,-1.9130526,0.251645556,0.536208667,0.671342857,0,0,0,0.0095976,0.00930825,4.57E-05,0.010770619,0.012089,0,1.0666886,0,0,1.9731185,-0.002069867,0.00153,0,0,0.001662714,-5.00E-05,-0.831750222,0,9.57E-05,0,0.010594667,0,0.007386909,0.009413143,0.047676,-0.001269977,0,1.68591632,0.106504034,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,8.81,BW,NO,0.02447691,24.33333333,NEUTRAL,GAIN,NEUTRAL
AACS_SR,0.0229605,0,1.910488333,0,0,0.009426119,0.289574733,0,0,0.00498195,0.431274889,0,0.0275944,0,0,1.084017103,0,-2.1435774,0,0.806342333,0.5384275,0,0,0,0.0098376,0.008895,4.70E-05,0.010821,0.0112185,0,1.00048925,0,0,0.49715225,-0.001973,-2.098427,0,0,0.002379286,-4.77E-05,-0.629545148,0,9.15E-05,0,0.010617556,0,0.007058364,0.009418095,0.047779,-0.02894907,0,1.68592004,0.002473034,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,8,BW,NO,0.02447691,24.33333333,NEUTRAL,GAIN,NEUTRAL
ABCA1_CCRF-CEM,0.025240667,0,1.274127636,0,0,0.009161,0.349738733,0,0,0.0049824,0.56046325,0,0.02690504,0.036117655,0,0.903381828,0,1.8031846,0,0.398587333,0.420122,0,0,0,0.0099666,0.00867225,4.77E-05,0.010848143,0.010751,0,-0.93127165,0,0,0.83569425,-0.0019208,-1.8818132,0,0,0.001549143,6.98E-05,-0.501379519,0,8.92E-05,0,0.01063,0,0.006882091,0.009420762,0.047835,0.010998605,0,0.84592208,0.010565655,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BF,NO,-1.365800682,0.333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_HL-60,0.01776525,0,1.91048,0,0,0.010178476,0.798114267,0,0,0.0049807,0.3972905,0,0.0295504,0,0,0.966495448,0,-2.1374159,0,0.545883367,0.553606143,0,0,0,0.0094719,0.009525,4.50E-05,0.010744238,0.012545,0,1.065253,0,0,1.4005005,-0.002120533,-2.0984925,0,0,0.002547857,-5.12E-05,0.777777778,0,9.79E-05,0,0.010582667,0,0.007558727,0.009410667,0.047622,-0.027329558,0,1.68591444,0.011953138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BF,NO,-1.365800682,0.333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_K-562,0.01804675,0,1.274109333,0,0,0.010811857,0.389328067,0,0,0.0173776,0.383440083,0,0.0311968,0.159816897,0,1.038455379,0,-2.1278168,0,0.722239967,0.521809464,0,0,0,0.0091638,0.010056,4.33E-05,0.010679476,0.013662,0,0.88940715,0,0,2.19965425,-0.0022448,-2.098548,0,0,0.001796286,-5.40E-05,-0.570745148,0,0.000103354,0,0,0,0.007979909,0.009404381,0,-0.053448535,0,0.84590968,0.110128172,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BF,NO,-1.365800682,0.333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_MOLT-4,0.02971875,0,1.274128182,0,0,0.009111071,0.344138733,0,0,0.00959765,0.313622889,0,0.02677604,0.066305931,0,0.940783241,0,1.8055547,0,0.4850206,0.368050643,0,0,0,0.0099909,0.008631,4.78E-05,0.01085319,0.0106635,0,-1.0304367,0,0,1.852017,-0.001911067,-2.0983995,0,0,0.001541714,-4.64E-05,-0.648904815,0,8.87E-05,0,0.010632222,0,0.006849182,0.009421333,0.047845,0.011001628,0,0.84790096,0.083266345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.325,BF,NO,-1.365800682,0.333333333,NEUTRAL,LOSS,NEUTRAL
