GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
A4GNT_A549,-0.04723475,0,1.274125364,0,0,0.009362786,0.387544267,0,0,0.0025,0.641733667,0,0.0274296,0,0,1.020761276,0,1.6829812,0,0.666527667,0.139846071,0,0,0,0.0098685,0.00884175,4.71E-05,0.010827476,0.0111065,0,-0.92894265,0,0,0.52946225,-0.0019604,-0.0075678,0,0,0.001579286,-4.75E-05,0.769359852,0,9.09E-05,0,0.010620667,0,0.007016364,0.009418667,0.047793,-0.022303209,0,0.84592052,0.009617724,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_EKVX,0.028418667,0,1.274126091,0,0,0.009300667,0.429210667,0,0,0.0096638,0.311273917,0,0.0272684,0.142536966,0,0.869035448,0,2.7134558,0.931400111,0.325940133,0.512891321,0,0,0,0.0098988,0.00879,4.73E-05,0.010833857,0.0109975,0,-0.58207605,0,0,1.44197325,-0.001948267,-0.0075115,0,0,0.00157,-4.72E-05,-0.501859593,0,9.04E-05,0,0.010623556,0,0.006975091,0.009419429,0.047806,0.010990116,0,0.84789912,-0.003010379,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_HOP-62,0.035225833,0,1.274176242,0,0,0.008308762,0.165745333,0,0,0.0074677,0.159174139,0,0.02485128,0.108295586,0,0.895637483,0,-2.157693,0,0.383819,0.672264036,0,0,0,0.0103809,0.007959,4.99E-05,0.010935048,0.0092485,0,1.07774035,0,0,0.94284075,-0.0017534,-0.0066123,0,0,0.001421571,-4.27E-05,3.111111111,0,8.18E-05,0,0.010669556,0,0.006315545,0.009429143,0.048013,0.960394047,0,0.8459802,0.04822969,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_HOP-92,0.031621,0,1.274138879,0,0,0.008147405,0.1683564,0,0,0.00498415,0.338806583,0,0.024271,0,0,0.878892655,0,-2.1540461,0,0.340811367,0.806773571,0,0,0,0.0104595,0.00782325,5.03E-05,0.010951619,0.008964,0,0.97772595,0,0,1.5729655,-0.001721933,-0.0064657,0,0,0.002377714,6.30E-05,0.488351444,0,8.04E-05,0,0.010677111,0,0.006208364,0.009430857,0.048047,0.011060233,0,0.84592972,0.003831724,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_NCI-H226,-0.04752075,0,1.274127091,0,0,0.009207429,0.510496067,0,0,0.0025,0.644494389,0,0.0270258,0,0,0.978650897,0,-2.1404035,0,0.572137,0.455677679,0,0,0,0.0099441,0.00871125,4.75E-05,0.010843286,0.0108325,0,0.98261285,0,0,0.48867575,-0.001929933,-0.0074267,0,0,0.002330286,-4.68E-05,0.914592593,0,8.96E-05,0,0.010627778,0,0.006913,0.00942019,0.047825,0.459764209,0,0.84592172,0.088570345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_NCI-H322M,0.024749,0,1.274126818,0,0,0.009232524,0.331319467,0,0,0.0049823,0.323554333,0,0.0270914,0,0,0.996919621,0,-2.0203834,0.138642889,0.613373367,0.591450286,0,0,0,0.0099318,0.008733,4.75E-05,0.010840762,0.010877,0,1.1019271,0,0,1.20919025,-0.001935,-0.0074497,0,0,0.001559857,7.03E-05,-0.877679889,0,8.97E-05,0,0.010626667,0,0.006929727,0.00942,0.04782,0.444584279,0,0.84592152,0.01397131,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_NCI-H460,0.021303333,0,1.274166333,0,0,0.009734762,0.5381842,0,0,0.00498145,0.223036333,0,0.028397,0.137265034,0,1.024769448,0,-1.9428727,0.220196222,0.676791967,0.686772143,0,0,0,0.0096876,0.00915375,4.61E-05,0.010789571,0.011763,0,1.1310109,0,0,0.9595335,-0.002033333,-0.0079052,0,0,0.001635,-4.92E-05,-0.777777778,0,9.41E-05,0,0.010603333,0,0.007263818,0.009415048,0.047715,-0.03013714,0,0.8479544,0.003461862,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
A4GNT_NCI-H522,0.017583917,0,1.274166727,0,0,0.009674119,0.513561133,0,0,0.0025,0.287285389,0,0.0282392,0.111635586,0,0.989602793,0,1.8477818,0.083892,0.5973989,0.698176321,0,0,0,0.009717,0.00910275,4.63E-05,0.010795667,0.0116555,0,-0.8684664,0,0,0.896231,-0.002021533,-0.0046098,0,0,0.001626,-4.89E-05,-0.777777778,0,9.36E-05,0,0.010606222,0,0.007223364,0.009415619,0.047728,-0.011534814,0,0.84597736,0.102044241,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.841904842,3400,NEUTRAL,GAIN,NEUTRAL
AADAC_A549,-0.04723475,0,1.274125364,0,0,0.009362786,0.387544267,0,0,0.0025,0.641733667,0,0.0274296,0,0,1.020761276,0,1.6829812,0,0.666527667,0.139846071,0,0,0,0.0098685,0.00884175,4.71E-05,0.010827476,0.0111065,0,-0.92894265,0,0,0.52946225,-0.0019604,-0.0075678,0,0,0.001579286,-4.75E-05,0.769359852,0,9.09E-05,0,0.010620667,0,0.007016364,0.009418667,0.047793,-0.022303209,0,0.84592052,0.009617724,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0,8.217,AV,NO,-3.86594942,21,DOWNREG,GAIN,NEUTRAL
AADAC_EKVX,0.028418667,0,1.274126091,0,0,0.009300667,0.429210667,0,0,0.0096638,0.311273917,0,0.0272684,0.142536966,0,0.869035448,0,2.7134558,0.931400111,0.325940133,0.512891321,0,0,0,0.0098988,0.00879,4.73E-05,0.010833857,0.0109975,0,-0.58207605,0,0,1.44197325,-0.001948267,-0.0075115,0,0,0.00157,-4.72E-05,-0.501859593,0,9.04E-05,0,0.010623556,0,0.006975091,0.009419429,0.047806,0.010990116,0,0.84789912,-0.003010379,9,7,4,9,6,6,7,100,12,10,100,10,14,8,100,7,7,4,100,5,2,8,8,8,100,6,100,100,100,100,100,100,11,7,100,3,100,100,100,6,11,9,8,100,10,5,10,7,5,11,100,8,8,8,5,100,100,3,7,9,9,5,9,7,100,100,8,12,100,4,10,100,100,7,12,100,9,1812,1088,0,4.393,AV,NO,-3.86594942,21,DOWNREG,GAIN,NEUTRAL
