MOLTID,TITLE,MOLTNBR,PANELNBR,CELLNBR,pname,cellname,ENTITY_MEASURED,UNITS,METHOD,VALUE,TEXT
MT2979,microRNA hsa-miR-140,358900,10,2,Melanoma,MALME-3M,miRNA,miR copy number,RT-PCR,549.953724,
MT2979,microRNA hsa-miR-140,358900,10,14,Melanoma,M14,miRNA,miR copy number,RT-PCR,37.5453913,
MT2979,microRNA hsa-miR-140,358900,10,5,Melanoma,SK-MEL-2,miRNA,miR copy number,RT-PCR,5357.18068,
MT2979,microRNA hsa-miR-140,358900,10,8,Melanoma,SK-MEL-28,miRNA,miR copy number,RT-PCR,141.759052,
MT2979,microRNA hsa-miR-140,358900,10,7,Melanoma,SK-MEL-5,miRNA,miR copy number,RT-PCR,291.204725,
MT2979,microRNA hsa-miR-140,358900,10,21,Melanoma,UACC-257,miRNA,miR copy number,RT-PCR,109.524647,
MT2979,microRNA hsa-miR-140,358900,10,20,Melanoma,UACC-62,miRNA,miR copy number,RT-PCR,1104.39616,
MT2979,microRNA hsa-miR-140,358900,6,10,Ovarian,IGROV1,miRNA,miR copy number,RT-PCR,650.588385,
MT2979,microRNA hsa-miR-140,358900,6,1,Ovarian,OVCAR-3,miRNA,miR copy number,RT-PCR,39.3315472,
MT2979,microRNA hsa-miR-140,358900,6,2,Ovarian,OVCAR-4,miRNA,miR copy number,RT-PCR,20.2820648,
MT2979,microRNA hsa-miR-140,358900,6,3,Ovarian,OVCAR-5,miRNA,miR copy number,RT-PCR,100.31722,
MT2979,microRNA hsa-miR-140,358900,6,5,Ovarian,OVCAR-8,miRNA,miR copy number,RT-PCR,120.476346,
MT2979,microRNA hsa-miR-140,358900,6,11,Ovarian,SK-OV-3,miRNA,miR copy number,RT-PCR,268.742599,
MT2979,microRNA hsa-miR-140,358900,9,18,Renal,786-0,miRNA,miR copy number,RT-PCR,106.586297,
MT2979,microRNA hsa-miR-140,358900,9,13,Renal,A498,miRNA,miR copy number,RT-PCR,149.10455,
