GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
AACS_DU-145,0.026673083,0,1.274132273,0,0,0.00874169,0.153122867,0,0,0.0064849,0.657785611,0,0.0258158,0,0,0.993233103,0,-2.1481788,0,0.606472633,0.326375179,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,1.0356083,0,0,0.56363125,-0.001838533,0.001633,0,0,0.002529143,6.7E-05,1.097117333,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.457390465,0,0.84592524,0.015018414,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,8.552,BW,NO,0.338131871,2.8,NEUTRAL,GAIN,NEUTRAL
AACS_PC-3,0.02539525,0,1.274127879,0,0,0.00913831,0.5773332,0,0,0.00498245,0.562560556,0,0.0268466,0.117187034,0,0.906849966,0,1.8419958,0,0.410103367,1.106144286,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,-1.0497188,0,0,1.4339675,-0.001916267,-2.0984015,0,0,0.001545714,6.97E-05,0.596384667,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.003759628,0,0.84592224,0.01417231,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,7.739,BW,NO,0.338131871,2.8,NEUTRAL,GAIN,NEUTRAL
AASS_DU-145,0.0286925,0,1.910285848,0,0,0.008716571,0.154913,0,0,0.0094598,0.564558389,0,0.027543,0,0.000589737,0.993228138,0,-2.1498711,0,0.606422267,0.203274429,0,0,0,0.0101826,0.00830025,4.88E-05,0.017296286,0.0099675,0,1.0353168,0,0,0.97029175,-0.001833533,-2.098365,0,0,0.001482571,6.68E-05,4.993946704,0,8.53E-05,0,0.010650667,0,0.006586727,0.009425143,0.047928,0.011025581,0,1.68564776,0.015072276,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.169925001,3.584,CA,CA,0.207869271,5.333333333,NEUTRAL,GAIN,NEUTRAL
AASS_PC-3,0.02185,0,1.910273,0,0,0.009113214,0.579115133,0,0,0.0049825,0.6259395,0,0.02856568,0.025334966,0.000587,0.906844966,0,1.8462126,0,0.410062033,0.488085393,0,0,0,0.0099897,0.0086325,4.78E-05,0.017226286,0.0106665,0,-1.0304382,0,0,1.24612175,-0.001911467,-2.0983995,0,0,0.001542,-4.64E-05,3.382801148,0,8.87E-05,0,0.010632222,0,0.006850455,0.009421143,0.047845,0.956281186,0,1.68563364,0.014225931,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.169925001,4.342,CA,CA,0.207869271,5.333333333,NEUTRAL,GAIN,NEUTRAL
ABAT_DU-145,0.027281333,0,1.91028503,0,0,0.00874169,0.153122867,0,0,0.0064849,0.683874167,0,0.0258158,0,0,0.993233103,0,-2.1481788,0,0.6051868,0.195619821,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,1.0356083,0,0,0.56363125,-0.001838533,-0.0070047,0,0,0.001486429,-4.47E-05,3.529578148,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,1.68762612,0.015018414,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,4.169925001,3.425,AW,CA,0.290073048,1.9375,NEUTRAL,NEUT,DOWNREG
ABAT_PC-3,0.002245417,0,1.910272212,0,0,0.00913831,0.5773332,0,0,0.00498245,0.326618389,0,0.0271964,0.117187034,0,0.906849966,0,-2.1459332,0,0.410103367,0.809877214,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,1.08197515,0,0,0.865946,-0.001916267,-0.0073641,0,0,0.001545714,6.97E-05,3.014596519,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.003737,0,1.68563276,0.014172345,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,4.169925001,3.237,AW,CA,0.290073048,1.9375,NEUTRAL,NEUT,DOWNREG
ABCA1_DU-145,-0.048378,0,1.274132273,0,0,0.00874169,0.153122867,0,0,0.0064849,0.618804278,0,0.0258158,0,0,1.001084552,0,-2.1254096,0,0.635545733,0.163092393,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,0.937846,0,0,1.45910325,-0.001838533,-1.9177425,0,0,0.001486429,6.7E-05,-0.384406556,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,0.84790448,0.015018414,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,2.286,BF,NO,0.120179975,14,NEUTRAL,GAIN,NEUTRAL
ABCA1_PC-3,0.029532667,0,1.274127879,0,0,0.00913831,0.5773332,0,0,0.0074649,0.335721361,0,0.02684656,0.117187034,0,0.906849966,0,-2.150898,0,0.410103367,0.372762214,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,1.06271395,0,0,1.278072,-0.001916267,-2.0984015,0,0,0.001545714,-4.65E-05,0.424149185,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.005278,0,0.84790064,0.014172345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,4.169925001,2.286,BF,NO,0.120179975,14,NEUTRAL,GAIN,NEUTRAL
ABCB11_DU-145,0.032254167,0,1.274132273,0,0,0.00874169,0.153122867,0,0,0.0094686,0.35289625,0,0.0258158,0,0,0.993233103,0,-2.1541462,0,0.606472633,0.177982571,0,0,0,0.0101703,0.00832125,4.87E-05,0.010890905,0.010012,0,0.9330835,0,0,1.45910325,-0.001838533,-2.098367,0,0,0.001486429,-4.47E-05,0.526156889,0,8.56E-05,0,0.010649556,0,0.006603455,0.009424952,0.047923,0.01102407,0,0.84592524,0.015018414,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,4.169925001,2.286,AB,SC,0.242526848,2,NEUTRAL,NEUT,NEUTRAL
ABCB11_PC-3,0.02539525,0,1.910491515,0,0,0.00913831,0.5773332,0,0,0.00498245,0.322046,0,0.0268466,0.117187034,0,0.906849966,0,1.8451563,0.003511667,0.410103367,0.719525214,0,0,0,0.0099777,0.0086535,4.77E-05,0.010850476,0.010711,0,-1.02887735,0,0,1.431643,-0.001916267,-0.0073641,0,0,0.001545714,-4.65E-05,-0.777777778,0,8.9E-05,0,0.010631111,0,0.006867182,0.009420952,0.04784,-0.003761791,0,1.68592224,0.01417231,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,4.169925001,2.289,AB,SC,0.242526848,2,NEUTRAL,NEUT,NEUTRAL
