Gene,Reaction
AGXT,AGTix
ASL,ARGSL
ASS1,ARGSS
ASRGL1,ASNNm
GOT1,ASPTA
GOT2,ASPTAm
ASPA,NACASPAH
ACY3,NACASPAH
ETNPPL,AGTim
AGXT2,AGTim
PROSC,ALAR
ASNS,ASNS1
DDO,DASPO1p
AOC1,NMPTRCOX
AOC3,NMPTRCOX
AOC2,NMPTRCOX
CES2,COKECBESr
AADAC,EGMESTr
GNPNAT1,ACGAM6PS
NAGK,ACGAMK
NANS,ACNAM9PL
NANS,ACNAM9PL2
NAGK,AMANK
GNE,AMANK
MANSC1,CHTNASE
CHIT1,CHTNASE
CHIA,CHTNASE
CHIA,CHTNASEe
GNPDA1,G6PDA
GNPDA2,G6PDA
GFPT1,GF6PTA
GFPT2,GF6PTA
HK1,HEX10
HK2,HEX10
HK3,HEX10
HKDC1,HEX10
GCK,HEX10
GNE,UAG2EMA
GALE,UAG4Ei
UAP1,UAGDP
UAP1L1,UAGDP
RENBP,ACGAM2E
PGM3,ACGAMPM
AMDHD2,AGDC
CMAS,CMPSAS
CMAS,CMPSASn
ALDH4A1,4HGLSDm
AMD1,ADMDC
MAOB,APRTO2
MAOA,APRTO2
DAO,DPROOp
GOT1,EHGLAT
GOT2,EHGLAT2m
GOT2,EHGLATm
ALDH4A1,HPROxm
MTAP,MTAP
ALDH1A1,NABTNO
ALDH3A2,NABTNO
ALDH9A1,NABTNO
ALDH1A2,NABTNO
ALDH7A1,NABTNO
ALDH4A1,NABTNOm
ALDH2,NABTNOm
ALDH1B1,NABTNOm
NOS3,NOS1
NOS1,NOS1
NOS2,NOS1
NOS3,NOS2
NOS1,NOS2
NOS2,NOS2
PYCR1,P5CRm
PYCR1,P5CRxm
ALDH4A1,PHCDm
P4HB,PROAKGOX1r
P4HA2,PROAKGOX1r
P4HA1,PROAKGOX1r
SAT2,PTRCAT1
SAT1,PTRCAT1
AOC1,PTRCOX1
AOC3,PTRCOX1
AOC2,PTRCOX1
AGMAT,AGMTm
AZIN2,ARGDCm
