Gene	Genes
Cell Line	Cell Line
Alanine and Aspartate Metabolism	Flux change in Alanine and Aspartate Metabolism after gene KO
Aminosugar Metabolism	Flux change in Aminosugar Metabolism after gene KO
Arginine and Proline Metabolism	Flux change in Arginine and Proline Metabolism after gene KO
Bile Acid Biosynthesis	Flux change in Bile Acid Biosynthesis after gene KO
Biotin Metabolism	Flux change in Biotin Metabolism after gene KO
Cholesterol Metabolism	Flux change in Cholesterol Metabolism after gene KO
Citric Acid Cycle	Flux change in Citric Acid Cycle after gene KO
CoA Biosynthesis	Flux change in CoA Biosynthesis after gene KO
CoA Catabolism	Flux change in CoA Catabolism after gene KO
Cysteine Metabolism	Flux change in Cysteine Metabolism after gene KO
Fatty Acid Metabolism	Flux change in Fatty Acid Metabolism after gene KO
Fatty acid activation	Flux change in Fatty acid activation after gene KO
Fatty acid elongation	Flux change in Fatty acid elongation after gene KO
Fatty acid oxidation	Flux change in Fatty acid oxidation after gene KO
Fatty acid oxidation_ peroxisome	Flux change in Fatty acid oxidation (peroxisome) after gene KO
Folate Metabolism	Flux change in Folate Metabolism after gene KO
Galactose metabolism	Flux change in Galactose metabolism after gene KO
Glutamate metabolism	Flux change in Glutamate metabolism after gene KO
Glutathione Metabolism	Flux change in Glutathione Metabolism after gene KO
Glycine_ Serine_ and Threonine Metabolism	Flux change in Glycine, Serine, and Threonine Metabolism after gene KO
Glycolysis/Gluconeogenesis	Flux change in Glycolysis/Gluconeogenesis after gene KO
Glyoxylate and Dicarboxylate Metabolism	Flux change in Glyoxylate and Dicarboxylate Metabolism after gene KO
Heme Biosynthesis	Flux change in Heme Biosynthesis after gene KO
Heme Degradation	Flux change in Heme Degradation after gene KO
Histidine Metabolism	Flux change in Histidine Metabolism after gene KO
IMP Biosynthesis	Flux change in IMP Biosynthesis after gene KO
Inositol Phosphate Metabolism	Flux change in Inositol Phosphate Metabolism after gene KO
Lysine Metabolism	Flux change in Lysine Metabolism after gene KO
Methionine Metabolism	Flux change in Methionine Metabolism after gene KO
N-Glycan Degradation	Flux change in N-Glycan Degradation after gene KO
NAD Metabolism	Flux change in NAD Metabolism after gene KO
Nucleic acid degradation	Flux change in Nucleic acid degradation after gene KO
Nucleotide Sugar Metabolism	Flux change in Nucleotide Sugar Metabolism after gene KO
Oxidative Phosphorylation	Flux change in Oxidative Phosphorylation after gene KO
Pentose Phosphate Pathway	Flux change in Pentose Phosphate Pathway after gene KO
Pentose and Glucuronate Interconversions	Flux change in Pentose and Glucuronate Interconversions after gene KO
Phenylalanine metabolism	Flux change in Phenylalanine metabolism after gene KO
Purine Catabolism	Flux change in Purine Catabolism after gene KO
Pyrimidine Biosynthesis	Flux change in Pyrimidine Biosynthesis after gene KO
Pyrimidine Catabolism	Flux change in Pyrimidine Catabolism after gene KO
Pyruvate Metabolism	Flux change in Pyruvate Metabolism after gene KO
Salvage Pathway	Flux change in Salvage Pathway after gene KO
Sphingolipid Metabolism	Flux change in Sphingolipid Metabolism after gene KO
Steroid Metabolism	Flux change in Steroid Metabolism after gene KO
Tetrahydrobiopterin	Flux change in Tetrahydrobiopterin after gene KO
Thiamine Metabolism	Flux change in Thiamine Metabolism after gene KO
Triacylglycerol Synthesis	Flux change in Triacylglycerol Synthesis after gene KO
Tryptophan metabolism	Flux change in Tryptophan metabolism after gene KO
Tyr_ Phe_ Trp Biosynthesis	Flux change in Tyrosine, Phenylalanine, and Tryptophan Biosynthesis after gene KO
Tyrosine metabolism	Flux change in Tyrosine metabolism after gene KO
Ubiquinone Biosynthesis	Flux change in Ubiquinone Biosynthesis after gene KO
Urea cycle/amino group metabolism	Flux change in Urea cycle/amino group metabolism after gene KO
Valine_ Leucine_ and Isoleucine Metabolism	Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO
M_ala__L_e	Topological distance from alanine (media)
M_arg__L_e	Topological distance from arginine (media)
M_asn__L_e	Topological distance from asparagine (media)
M_asp__L_e	Topological distance from aspartate (media)
M_chol_e	Topological distance from choline (media)
M_cys__L_e	Topological distance from cysteine (media)
M_fol_e	Topological distance from folate (media)
M_glc__D_e	Topological distance from D-glucose (media)
M_gln__L_e	Topological distance from glutamine (media)
M_glu__L_e	Topological distance from glutamate (media)
M_gly_e	Topological distance from glycine (media)
M_gthox_e	Topological distance from oxidized glutathione (media)
M_gthrd_e	Topological distance from reduced glutathione (media)
M_h2o_e	Topological distance from water (media)
M_h_e	Topological distance from hydrogen (media)
M_his__L_e	Topological distance from histidine (media)
M_ile__L_e	Topological distance from isoleucine (media)
M_inost_e	Topological distance from myo-inositol (media)
M_leu__L_e	Topological distance from leucine (media)
M_lys__L_e	Topological distance from lysine (media)
M_met__L_e	Topological distance from methionine (media)
M_nh4_e	Topological distance from ammonia (media)
M_o2_e	Topological distance from oxygen (media)
M_phe__L_e	Topological distance from phenylalanine (media)
M_pi_e	Topological distance from inorganic phosphate (media)
M_ser__L_e	Topological distance from serine (media)
M_succ_e	Topological distance from succinate (media)
M_thf_e	Topological distance from tetrahydrofolate (media)
M_thr__L_e	Topological distance from threonine (media)
M_trp__L_e	Topological distance from tryptophan (media)
M_tyr__L_e	Topological distance from tyrosine (media)
M_urea_e	Topological distance from urea (media)
M_val__L_e	Topological distance from valine (media)
M_ala__L_c	Topological distance to alanine (biomass)
M_amp_c	Topological distance to AMP (biomass)
M_arg__L_c	Topological distance to arginine (biomass)
M_asn__L_c	Topological distance to asparagine (biomass)
M_asp__L_c	Topological distance to aspartate (biomass)
M_atp_c	Topological distance to ATP (biomass)
M_chsterol_c	Topological distance to cholesterol (biomass)
M_clpn_hs_c	Topological distance to cardiolipin (biomass)
M_cmp_c	Topological distance to CMP (biomass)
M_cys__L_c	Topological distance to cysteine (biomass)
M_dag_hs_c	Topological distance to diacylglycerol (biomass)
M_damp_c	Topological distance to dAMP (biomass)
M_dcmp_c	Topological distance to dCMP (biomass)
M_dgmp_c	Topological distance to dGMP (biomass)
M_dtmp_c	Topological distance to dTMP (biomass)
M_gln__L_c	Topological distance to glutamine (biomass)
M_glu__L_c	Topological distance to glutamate (biomass)
M_gly_c	Topological distance to glycine (biomass)
M_glygn1_c	Topological distance to glycogen (biomass)
M_gmp_c	Topological distance to GMP (biomass)
M_h2o_c	Topological distance to water (biomass)
M_his__L_c	Topological distance to histidine (biomass)
M_ile__L_c	Topological distance to isoleucine (biomass)
M_leu__L_c	Topological distance to leucine (biomass)
M_lpchol_hs_c	Topological distance to lsophosphatidylcholine (biomass)
M_lys__L_c	Topological distance to lysine (biomass)
M_mag_hs_c	Topological distance to monoacylglycerol (biomass)
M_met__L_c	Topological distance to methionine (biomass)
M_pa_hs_c	Topological distance to phosphatidic acid (biomass)
M_pail_hs_c	Topological distance to phosphatidylinositol (biomass)
M_pchol_hs_c	Topological distance to phosphatidylcholine (biomass)
M_pe_hs_c	Topological distance to phosphatidylethanolamine (biomass)
M_phe__L_c	Topological distance to phenylalanine (biomass)
M_pro__L_c	Topological distance to proline (biomass)
M_ps_hs_c	Topological distance to phosphatidylserine (biomass)
M_ser__L_c	Topological distance to serine (biomass)
M_sphmyln_hs_c	Topological distance to sphingomyelin (biomass)
M_tag_hs_c	Topological distance to triacylglycerol (biomass)
M_thr__L_c	Topological distance to threonine (biomass)
M_trp__L_c	Topological distance to tryptophan (biomass)
M_tyr__L_c	Topological distance to tyrosine (biomass)
M_ump_c	Topological distance to UMP (biomass)
M_val__L_c	Topological distance to valine (biomass)
M_xolest_hs_c	Topological distance to cholesterol ester (biomass)
tot_biom	Sum of topological distances to media components
total_path	Sum of topological distances to biomass components
kcat	Catalytic efficiency
GeneExp	NCI-60 gene expression
subsys	RECON1 subsystem
path_label	Metabolic subnetwork
TCGA_val	TCGA gene expression fold change
CNV_val	CNV gain/loss ratio
TCGA_annot	TCGA annotation
CNV	CNV
SURV	SURV
