Feature,Gini,R
NCI-60 gene expression,0.2091307489243234,-0.2249271351584132
RECON1 subsystem,0.09292560598227415,-0.3812464258315117
Catalytic efficiency,0.0620046312392649,0.0
Flux change in Glycolysis/Gluconeogenesis after gene KO,0.03222877489445434,0.8660254037844387
Flux change in Glutamate metabolism after gene KO,0.031080273883718403,0.16035606444381992
Flux change in Arginine and Proline Metabolism after gene KO,0.028412542413659647,0.0
Metabolic subnetwork,0.026740017739614402,0.0
Flux change in Urea cycle/amino group metabolism after gene KO,0.025677648976496166,0.0
Flux change in NAD Metabolism after gene KO,0.024320389442659997,0.0
Flux change in Pyruvate Metabolism after gene KO,0.02325787409248161,0.0
Flux change in Tyrosine metabolism after gene KO,0.02181204218172677,0.14650891984706585
Flux change in Fatty Acid Metabolism after gene KO,0.021355331072523624,-0.6033193851854443
Flux change in Oxidative Phosphorylation after gene KO,0.019093640675114598,0.0
"Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO",0.017946476788746106,0.0
Sum of topological distances to media components,0.01752281993446297,0.9985199648520979
Flux change in Pentose and Glucuronate Interconversions after gene KO,0.01620361225373669,0.9999986773244024
Topological distance to proline (biomass),0.014666637573270283,0.9819805060619656
Flux change in Cysteine Metabolism after gene KO,0.012048165793733735,0.0
Topological distance to glycogen (biomass),0.011811223144882777,0.9607689228305226
Flux change in Alanine and Aspartate Metabolism after gene KO,0.010090308185333793,0.8470276553484127
Flux change in Pyrimidine Catabolism after gene KO,0.009651460868411345,0.0
Topological distance to phosphatidylserine (biomass),0.009125135563300657,0.944911182523068
Flux change in Glutathione Metabolism after gene KO,0.008810730567134325,0.0
Sum of topological distances to biomass components,0.008365258437350942,0.9629633968763351
Topological distance from reduced glutathione (media),0.008364164727998726,0.996615895540124
Flux change in Pyrimidine Biosynthesis after gene KO,0.008299935533497092,0.0
Flux change in Fatty acid elongation after gene KO,0.007742574209824063,0.0
Topological distance from valine (media),0.007598580165919242,0.944911182523068
Topological distance to cardiolipin (biomass),0.0075410354481901445,0.9933992677987827
Topological distance from arginine (media),0.007208383613968731,0.9912407071619304
Topological distance from folate (media),0.00719324325439029,0.9522165814091076
Topological distance from oxidized glutathione (media),0.007005331144766189,0.9912407071619304
Topological distance to lsophosphatidylcholine (biomass),0.0063030545371709325,0.9979487157886733
Topological distance from cysteine (media),0.006215259976402933,0.9912407071619304
Topological distance to phosphatidic acid (biomass),0.006119894349102994,0.9819805060619657
Flux change in Folate Metabolism after gene KO,0.006072883751237881,-0.8660254037844386
Topological distance to phosphatidylcholine (biomass),0.005936464153894294,0.9933992677987827
Flux change in Glyoxylate and Dicarboxylate Metabolism after gene KO,0.005872708772508494,0.0
Topological distance from lysine (media),0.005311371452426413,0.987829161147262
Topological distance to triacylglycerol (biomass),0.00514816064405453,0.9607689228305226
Topological distance to tyrosine (biomass),0.005029523682047292,0.9819805060619659
Topological distance from ammonia (media),0.004863151792900507,0.9966158955401239
Topological distance to dGMP (biomass),0.004349357244873527,0.987829161147262
Flux change in Cholesterol Metabolism after gene KO,0.004238210804188945,0.0
Flux change in Triacylglycerol Synthesis after gene KO,0.004221979396054279,0.0
Topological distance to phosphatidylinositol (biomass),0.004206421932534529,0.9819805060619659
Topological distance from serine (media),0.004143875417502984,0.9933992677987827
Topological distance to monoacylglycerol (biomass),0.004106038019813871,0.9966158955401239
Topological distance from myo-inositol (media),0.00390247243926715,0.987829161147262
Topological distance from glutamine (media),0.0038855943103280185,0.996615895540124
Topological distance to glutamate (biomass),0.0036707966578615353,0.944911182523068
Flux change in Fatty acid oxidation after gene KO,0.003644876924616858,0.0
Topological distance from asparagine (media),0.0036086461717093885,1.0
Topological distance from water (media),0.0036042022222613837,0.987829161147262
Topological distance to tryptophan (biomass),0.003591989904964174,0.0
Topological distance to dAMP (biomass),0.003484297542755213,0.9933992677987828
Topological distance to cholesterol (biomass),0.0034217158504160905,0.9819805060619659
Topological distance to histidine (biomass),0.003370035478520934,0.987829161147262
Topological distance from glutamate (media),0.0032257101720907684,0.944911182523068
Topological distance from choline (media),0.0032065341526470704,0.987829161147262
"Flux change in Glycine, Serine, and Threonine Metabolism after gene KO",0.0031862277179052273,-0.8660254037844387
Topological distance from histidine (media),0.0031468829040297137,0.9332565252573827
Gene KO growth rate ratio,0.0030289873428176396,0.0
Flux change in Inositol Phosphate Metabolism after gene KO,0.0029420307516414886,0.0
Flux change in Tetrahydrobiopterin after gene KO,0.002714326014588542,0.0
Topological distance to cholesterol ester (biomass),0.0026358459972839984,0.9819805060619659
