Feature,Gini,R
NCI-60 gene expression,0.27431962223542283,-0.0006696934215101654
RECON1 subsystem,0.09636892122300175,-0.905935760955305
Catalytic efficiency,0.07056842860160811,0.0
Sum of topological distances to media components,0.0643632860373026,0.0
Flux change in Glycolysis/Gluconeogenesis after gene KO,0.05750750261060816,0.0
Flux change in Glutamate metabolism after gene KO,0.040697729039704866,-0.14031677985087446
Metabolic subnetwork,0.03812302888087132,-0.8660254037844385
Flux change in Pyrimidine Biosynthesis after gene KO,0.036459998894176386,0.0
Sum of topological distances to biomass components,0.03642543489870352,0.04145825647203133
Topological distance from oxidized glutathione (media),0.030889699677070025,0.0
Flux change in Urea cycle/amino group metabolism after gene KO,0.02864616538736709,0.0
Topological distance to proline (biomass),0.02425233740678468,0.0
Flux change in Tyrosine metabolism after gene KO,0.02377710292667912,-0.07464449264462994
Topological distance to glycogen (biomass),0.023093331958962043,0.0
Topological distance to lysine (biomass),0.02226072520231485,0.0
Topological distance from arginine (media),0.01962992331194608,0.0
Topological distance from cysteine (media),0.01818583512420299,0.0
Flux change in Arginine and Proline Metabolism after gene KO,0.011757270965868228,0.0
Topological distance from reduced glutathione (media),0.011295715362388775,0.0
Flux change in Oxidative Phosphorylation after gene KO,0.009166719312167339,0.0
Topological distance to lsophosphatidylcholine (biomass),0.006429356866542273,0.0
Flux change in Cysteine Metabolism after gene KO,0.0062259888734263365,0.0
Topological distance to tyrosine (biomass),0.0056475755509670525,0.0
Flux change in Fatty Acid Metabolism after gene KO,0.005550848403836418,0.0
Topological distance from lysine (media),0.004924050768593867,0.0
Topological distance from aspartate (media),0.004446561520281169,0.0
Flux change in Pyruvate Metabolism after gene KO,0.0035312397299498742,-0.8660254037844387
Flux change in Cholesterol Metabolism after gene KO,0.003316793309194989,0.0
Topological distance from glutamate (media),0.0032530694569626152,0.0
Topological distance to GMP (biomass),0.001973327623914563,0.0
Flux change in Pyrimidine Catabolism after gene KO,0.0018710461597509994,0.0
Topological distance to methionine (biomass),0.001709984639086504,0.0
Flux change in Pentose and Glucuronate Interconversions after gene KO,0.0014609270219288662,0.0
Topological distance from valine (media),0.001446650593264672,0.0
Topological distance to UMP (biomass),0.0013005573378108211,0.0
Flux change in Tryptophan metabolism after gene KO,0.0011547660723179509,0.0
"Flux change in Glycine, Serine, and Threonine Metabolism after gene KO",0.00095289799567717,0.8660254037844386
Topological distance to valine (biomass),0.0008373698497893229,0.0
Flux change in Fatty acid elongation after gene KO,0.0008326173642461335,0.0
Topological distance from ammonia (media),0.0008270697344495683,0.0
Flux change in NAD Metabolism after gene KO,0.000692155297456157,0.0
Flux change in Glutathione Metabolism after gene KO,0.0006079099261897859,0.0
Topological distance to monoacylglycerol (biomass),0.0004994107308601914,0.0
Topological distance from glutamine (media),0.0003417422776568145,0.0
Flux change in Fatty acid oxidation after gene KO,0.0003369336423685015,0.0
Topological distance from oxygen (media),0.000336239394629351,0.0
Flux change in Lysine Metabolism after gene KO,0.00033020991180378486,0.0
Flux change in Alanine and Aspartate Metabolism after gene KO,0.0003242961786017082,-0.8147362491738676
"Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO",0.00030440093944544594,0.0
Flux change in Citric Acid Cycle after gene KO,0.00017312081558355801,0.0
Topological distance from histidine (media),0.00017249054056689834,0.0
Topological distance to cysteine (biomass),0.0001696462382426869,0.0
Topological distance from asparagine (media),0.00016885518280421684,0.0
"Flux change in Tyrosine, Phenylalanine, and Tryptophan Biosynthesis after gene KO",2.5001258005496325e-05,0.0
Topological distance from water (media),9.475026096398615e-06,0.0
Flux change in Tetrahydrobiopterin after gene KO,8.56161144901963e-06,0.0
Flux change in Inositol Phosphate Metabolism after gene KO,8.21328637867137e-06,0.0
Flux change in Histidine Metabolism after gene KO,5.911835952639034e-06,0.0
Flux change in Folate Metabolism after gene KO,3.947976766770122e-06,0.749040761060451
Flux change in Aminosugar Metabolism after gene KO,0.0,0.0
Flux change in Bile Acid Biosynthesis after gene KO,0.0,0.0
Flux change in Biotin Metabolism after gene KO,0.0,0.0
Flux change in CoA Biosynthesis after gene KO,0.0,0.0
Flux change in CoA Catabolism after gene KO,0.0,0.0
Flux change in Fatty acid activation after gene KO,0.0,0.0
Flux change in Fatty acid oxidation (peroxisome) after gene KO,0.0,0.0
Flux change in Galactose metabolism after gene KO,0.0,0.0
Flux change in Glyoxylate and Dicarboxylate Metabolism after gene KO,0.0,0.0
Flux change in Heme Biosynthesis after gene KO,0.0,0.0
Flux change in Heme Degradation after gene KO,0.0,0.0
Flux change in IMP Biosynthesis after gene KO,0.0,0.0
Flux change in Methionine Metabolism after gene KO,0.0,0.0
Flux change in N-Glycan Degradation after gene KO,0.0,0.0
Flux change in Nucleic acid degradation after gene KO,0.0,0.0
Flux change in Nucleotide Sugar Metabolism after gene KO,0.0,0.0
Flux change in Pentose Phosphate Pathway after gene KO,0.0,0.0
Flux change in Phenylalanine metabolism after gene KO,0.0,0.0
Flux change in Purine Catabolism after gene KO,0.0,0.0
Flux change in Salvage Pathway after gene KO,0.0,0.0
Flux change in Sphingolipid Metabolism after gene KO,0.0,0.0
Flux change in Steroid Metabolism after gene KO,0.0,0.0
Flux change in Thiamine Metabolism after gene KO,0.0,0.0
Flux change in Triacylglycerol Synthesis after gene KO,0.0,0.0
Flux change in Ubiquinone Biosynthesis after gene KO,0.0,0.0
Topological distance from alanine (media),0.0,0.0
Topological distance from choline (media),0.0,0.0
Topological distance from folate (media),0.0,0.0
Topological distance from D-glucose (media),0.0,0.0
Topological distance from glycine (media),0.0,0.0
Topological distance from hydrogen (media),0.0,0.0
Topological distance from isoleucine (media),0.0,0.0
Topological distance from myo-inositol (media),0.0,0.0
Topological distance from leucine (media),0.0,0.0
Topological distance from methionine (media),0.0,0.0
Topological distance from phenylalanine (media),0.0,0.0
Topological distance from inorganic phosphate (media),0.0,0.0
Topological distance from serine (media),0.0,0.0
Topological distance from succinate (media),0.0,0.0
Topological distance from tetrahydrofolate (media),0.0,0.0
Topological distance from threonine (media),0.0,0.0
Topological distance from tryptophan (media),0.0,0.0
Topological distance from tyrosine (media),0.0,0.0
Topological distance from urea (media),0.0,0.0
Topological distance to alanine (biomass),0.0,0.0
Topological distance to AMP (biomass),0.0,0.0
Topological distance to arginine (biomass),0.0,0.0
Topological distance to asparagine (biomass),0.0,0.0
Topological distance to aspartate (biomass),0.0,0.0
Topological distance to ATP (biomass),0.0,0.0
Topological distance to cholesterol (biomass),0.0,0.0
Topological distance to cardiolipin (biomass),0.0,0.0
Topological distance to CMP (biomass),0.0,0.0
Topological distance to diacylglycerol (biomass),0.0,0.0
Topological distance to dAMP (biomass),0.0,0.0
Topological distance to dCMP (biomass),0.0,0.0
Topological distance to dGMP (biomass),0.0,0.0
Topological distance to dTMP (biomass),0.0,0.0
Topological distance to glutamine (biomass),0.0,0.0
Topological distance to glutamate (biomass),0.0,0.0
Topological distance to glycine (biomass),0.0,0.0
Topological distance to water (biomass),0.0,0.0
Topological distance to histidine (biomass),0.0,0.0
Topological distance to isoleucine (biomass),0.0,0.0
Topological distance to leucine (biomass),0.0,0.0
Topological distance to phosphatidic acid (biomass),0.0,0.0
Topological distance to phosphatidylinositol (biomass),0.0,0.0
Topological distance to phosphatidylcholine (biomass),0.0,0.0
Topological distance to phosphatidylethanolamine (biomass),0.0,0.0
Topological distance to phenylalanine (biomass),0.0,0.0
Topological distance to phosphatidylserine (biomass),0.0,0.0
Topological distance to serine (biomass),0.0,0.0
Topological distance to sphingomyelin (biomass),0.0,0.0
Topological distance to triacylglycerol (biomass),0.0,0.0
Topological distance to threonine (biomass),0.0,0.0
