Feature,Gini,R
NCI-60 gene expression,0.1965430489179584,0.9276666866401523
RECON1 subsystem,0.12052338384643028,-0.8660254037844386
Catalytic efficiency,0.09201187332357377,0.0
Flux change in Arginine and Proline Metabolism after gene KO,0.03425156059859255,0.0
Sum of topological distances to biomass components,0.029105719405957152,0.87624323914632
Flux change in Pyruvate Metabolism after gene KO,0.02735437670103628,-0.22128348428121558
Flux change in Glycolysis/Gluconeogenesis after gene KO,0.024858200884397046,0.0
Metabolic subnetwork,0.02483339165460278,0.0
Flux change in Urea cycle/amino group metabolism after gene KO,0.02469713603529911,0.0
Sum of topological distances to media components,0.020046744482529355,0.8999453243482181
Flux change in Fatty Acid Metabolism after gene KO,0.01902942061472465,0.8363971655825988
Flux change in Glutamate metabolism after gene KO,0.018068113250931776,0.0
Flux change in Alanine and Aspartate Metabolism after gene KO,0.01796243346624405,0.0
"Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO",0.016102236763499915,0.0
Flux change in Pentose and Glucuronate Interconversions after gene KO,0.014441252766925334,0.0
Flux change in Tyrosine metabolism after gene KO,0.013354045346079863,0.0
grRatio,0.012109790329347381,0.0
Topological distance to alanine (biomass),0.011627433656775387,0.8660254037844386
Flux change in NAD Metabolism after gene KO,0.011449713085637858,0.0
Flux change in Pyrimidine Biosynthesis after gene KO,0.01046606511200297,0.8660254037844386
