Feature,Gini,R
NCI-60 gene expression,0.1976622510823225,0.2980578786917591
RECON1 subsystem,0.10322253511135977,-0.7559289460184544
Catalytic efficiency,0.08371055011087788,0.0
Metabolic subnetwork,0.05174604749838123,0.0
Flux change in Glutamate metabolism after gene KO,0.02470391375708366,0.0
Flux change in Arginine and Proline Metabolism after gene KO,0.023920410779698024,0.0
Flux change in Tyrosine metabolism after gene KO,0.023741015999731656,0.8652898859620269
Flux change in Glycolysis/Gluconeogenesis after gene KO,0.023625437138924732,-0.9714662700954996
Flux change in Pentose and Glucuronate Interconversions after gene KO,0.021122653975676246,0.8660254037844386
Flux change in Pyruvate Metabolism after gene KO,0.019948249914310535,-0.8165242721126169
Flux change in Alanine and Aspartate Metabolism after gene KO,0.019249482622153508,0.0
Flux change in Fatty Acid Metabolism after gene KO,0.01885772833718255,0.8660254037844387
Flux change in Urea cycle/amino group metabolism after gene KO,0.01823462054191315,-0.26718888218138304
Topological distance to glycogen (biomass),0.017419381972369922,0.720576692122892
Topological distance to cardiolipin (biomass),0.015078766655520322,0.8660254037844387
Flux change in Pyrimidine Biosynthesis after gene KO,0.014924594803083313,0.09267240447656479
Flux change in Fatty acid oxidation after gene KO,0.014286724162902826,-0.8660254037844387
Topological distance to triacylglycerol (biomass),0.013648768257125285,0.7205766921228921
Topological distance to proline (biomass),0.013493990105754477,0.924473451641905
Topological distance to lsophosphatidylcholine (biomass),0.013334288118706458,0.8660254037844385
Sum of topological distances to biomass components,0.010928105370497637,0.7116883808032448
Flux change in Glutathione Metabolism after gene KO,0.009980916291185851,0.0
Topological distance from lysine (media),0.00943032481740415,0.8660254037844386
Flux change in Oxidative Phosphorylation after gene KO,0.009354391951908441,0.8660254037844387
"Flux change in Glycine, Serine, and Threonine Metabolism after gene KO",0.008876419644706679,0.0
"Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO",0.00881516975287552,0.0
Flux change in Cysteine Metabolism after gene KO,0.00876225674923039,0.0
