Feature,Gini,R
NCI-60 gene expression,0.1972837953525223,0.9278654623266328
RECON1 subsystem,0.11148044721491593,-0.917662935482247
Catalytic efficiency,0.08756574407074562,0.0
Metabolic subnetwork,0.03256554810196845,0.0
Flux change in Arginine and Proline Metabolism after gene KO,0.03042494444721059,0.0
Flux change in Pyruvate Metabolism after gene KO,0.026941937791867848,-0.36020694111141166
Flux change in Tyrosine metabolism after gene KO,0.025804690425534165,0.0
Flux change in Glycolysis/Gluconeogenesis after gene KO,0.024577015405872336,0.0
Sum of topological distances to biomass components,0.022805528931225023,0.885887178466384
Flux change in NAD Metabolism after gene KO,0.020722070589859056,0.0
Topological distance to alanine (biomass),0.02046666958951965,0.8660254037844386
"Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO",0.018895855234814376,0.0
Flux change in Pentose and Glucuronate Interconversions after gene KO,0.018406522311228857,0.0
Flux change in Fatty Acid Metabolism after gene KO,0.01722397380879752,0.8363970936253265
Sum of topological distances to media components,0.016611392945859,0.8845348670628489
Flux change in Urea cycle/amino group metabolism after gene KO,0.01535476725002754,0.0
Flux change in Alanine and Aspartate Metabolism after gene KO,0.014125120517475451,0.0
Flux change in Glutamate metabolism after gene KO,0.012504864180297073,0.0
Flux change in Pyrimidine Catabolism after gene KO,0.012202018087500596,0.8660254037844386
Flux change in Oxidative Phosphorylation after gene KO,0.010574114677887572,-0.8660254037844386
