Feature,Gini,R
NCI-60 gene expression,0.2230484966486223,0.9814066937248683
RECON1 subsystem,0.20333487040439208,0.9700172433694787
Catalytic efficiency,0.06294214024276595,0.0
Flux change in NAD Metabolism after gene KO,0.04061547603269453,-0.8660254037844386
Flux change in Arginine and Proline Metabolism after gene KO,0.04061280293104265,-0.8274244316035704
Flux change in Pyruvate Metabolism after gene KO,0.024383642189563192,-0.12005566080165148
Flux change in Urea cycle/amino group metabolism after gene KO,0.022924742016258076,0.0
Metabolic subnetwork,0.019575015047975677,-0.8660254037844385
Flux change in Pentose and Glucuronate Interconversions after gene KO,0.016429908255840724,-0.3899766448442061
"Flux change in Valine, Leucine, and Isoleucine Metabolism after gene KO",0.015842956377343207,0.21357596851458413
Topological distance from lysine (media),0.015425043705537534,-0.884816671429501
Sum of topological distances to media components,0.013212937215507838,-0.8902821755757313
Sum of topological distances to biomass components,0.011878027533266954,-0.8797180016552716
Topological distance from oxidized glutathione (media),0.011284143793029677,-0.8955742347499436
Topological distance to triacylglycerol (biomass),0.010819956337840964,-0.8852325815216111
Topological distance to UMP (biomass),0.010799832477139917,-0.8801690279569764
Topological distance from methionine (media),0.010579209653877469,-0.8846153846153846
Flux change in Tyrosine metabolism after gene KO,0.010286074233609858,0.49936304407973303
Flux change in Fatty Acid Metabolism after gene KO,0.010208516126129002,0.8660254037844386
Flux change in Pyrimidine Catabolism after gene KO,0.009823404299924742,-0.8485926515996092
