TYPE	ID_NAME	ID_DESCRIPTION	DATA_POSTPROCESSING	DATASET	CANCER TYPE	SUBTYPE	ENDPOINT	COHORT	CONTRIBUTOR	ARRAY TYPE	PROBE ID	N	CUTPOINT	MINIMUM P-VALUE	CORRECTED P-VALUE	ln(HR-high / HR-low)	COX P-VALUE	ln(HR)	HR [95% CI-low CI-upp]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE5287	Bladder cancer		Overall Survival	Aarhus (1995-2004)	Als	HG-U133A	205095_s_at	30	0.333333	0.0778404	-	0.780538	0.420137	0.520323	1.68 [0.47 - 5.96]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE5287	Bladder cancer		Overall Survival	Aarhus (1995-2004)	Als	HG-U133A	212383_at	30	0.2	0.0106928	0.169789	1.72349	0.165122	0.780137	2.18 [0.73 - 6.56]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE13507	Bladder cancer		Overall Survival	CNUH	Kim	Human-6 v2	ILMN_1752579	165	0.830303	0.000434764	0.0125726	0.97043	0.0136485	0.567247	1.76 [1.12 - 2.77]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE13507	Bladder cancer	Transitional cell carcinoma 	Disease Specific Survival	CNUH	Kim	Human-6 v2	ILMN_1752579	165	0.830303	0.000137687	0.00463866	1.31577	0.017012	0.783798	2.19 [1.15 - 4.17]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE12417-GPL96	Blood cancer	AML	Overall Survival	AMLCG (1999-2003)	Metzeler	HG-U133A	205095_s_at	163	0.546012	0.00261689	0.0563996	-0.610828	0.00434643	-1.64989	0.19 [0.06 - 0.60]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE12417-GPL96	Blood cancer	AML	Overall Survival	AMLCG (1999-2003)	Metzeler	HG-U133A	212383_at	163	0.730061	0.00348421	0.0710415	-0.71424	0.016351	-0.614807	0.54 [0.33 - 0.89]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE12417-GPL570	Blood cancer	AML	Overall Survival	AMLCG (2004)	Metzeler	HG-U133_Plus_2	212383_at	79	0.734177	0.00539666	0.10049	-1.08757	0.139671	-0.410692	0.66 [0.38 - 1.14]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE12417-GPL570	Blood cancer	AML	Overall Survival	AMLCG (2004)	Metzeler	HG-U133_Plus_2	205095_s_at	79	0.78481	0.0208423	0.275847	-0.973602	0.125715	-0.71816	0.49 [0.19 - 1.22]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE5122	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	212383_at	58	0.810345	0.0457471	0.465437	-0.739274	0.479633	-0.221831	0.80 [0.43 - 1.48]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE5122	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	205095_s_at	58	0.293103	0.0391269	0.421683	-0.625279	0.336392	-0.183051	0.83 [0.57 - 1.21]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE8970	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	212383_at	34	0.352941	0.164037	-	0.568384	0.520668	-0.314519	0.73 [0.28 - 1.91]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE8970	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	205095_s_at	34	0.117647	0.00252273	0.0547463	-1.74956	0.0957872	-0.562082	0.57 [0.29 - 1.10]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE4475	Blood cancer	B-cell lymphoma	Overall Survival	Berlin (2003-2005)	Hummel	HG-U133A	205095_s_at	158	0.462025	0.0105965	0.168642	0.605762	0.0511381	0.773569	2.17 [1.00 - 4.72]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE4475	Blood cancer	B-cell lymphoma	Overall Survival	Berlin (2003-2005)	Hummel	HG-U133A	212383_at	158	0.898734	0.0471596	0.47429	0.64102	0.220535	0.436197	1.55 [0.77 - 3.11]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	E-TABM-346	Blood cancer	DLBCL	Overall Survival	GELA (1998-2000)	Jais	HG-U133A	212383_at	53	0.169811	0.142959	-	0.866155	0.248429	0.71383	2.04 [0.61 - 6.86]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	E-TABM-346	Blood cancer	DLBCL	Event Free Survival	GELA (1998-2000)	Jais	HG-U133A	205095_s_at	53	0.528302	0.00835444	0.140897	0.901492	0.634062	0.203571	1.23 [0.53 - 2.83]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	E-TABM-346	Blood cancer	DLBCL	Event Free Survival	GELA (1998-2000)	Jais	HG-U133A	212383_at	53	0.698113	0.244067	-	0.415618	0.361944	0.544136	1.72 [0.53 - 5.55]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	E-TABM-346	Blood cancer	DLBCL	Overall Survival	GELA (1998-2000)	Jais	HG-U133A	205095_s_at	53	0.528302	0.00570084	0.104894	1.01702	0.448174	0.346581	1.41 [0.58 - 3.46]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE16131-GPL96	Blood cancer	Follicular lymphoma	Overall Survival	NCI (1974-2001)	Dave	HG-U133A	205095_s_at	180	0.733333	0.09177	-	0.378772	0.706116	0.0397317	1.04 [0.85 - 1.28]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE16131-GPL96	Blood cancer	Follicular lymphoma	Overall Survival	NCI (1974-2001)	Dave	HG-U133A	212383_at	180	0.772222	0.0225868	0.291802	0.549266	0.122899	0.371095	1.45 [0.90 - 2.32]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE2658	Blood cancer	Multiple myeloma	Disease Specific Survival	Arkansas	Zhan	HG-U133_Plus_2	212383_at	559	0.892665	0.0743007	-	-0.735256	0.915282	-0.0329154	0.97 [0.53 - 1.77]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE2658	Blood cancer	Multiple myeloma	Disease Specific Survival	Arkansas	Zhan	HG-U133_Plus_2	205095_s_at	559	0.790698	0.0895657	-	-0.561255	0.541753	-0.067045	0.94 [0.75 - 1.16]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE4271-GPL96	Brain cancer	Astrocytoma	Overall Survival	MDA	Phillips	HG-U133A	212383_at	77	0.545455	0.000176715	0.00577	-1.04218	0.0057584	-0.572083	0.56 [0.38 - 0.85]
GENE	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	None	GSE4271-GPL96	Brain cancer	Astrocytoma	Overall Survival	MDA	Phillips	HG-U133A	205095_s_at	77	0.480519	0.0132984	0.199623	-0.654597	0.0249518	-0.263132	0.77 [0.61 - 0.97]
