ID_NAME,CANCER TYPE,SURV
A4GALT,Breast cancer,NEUTRAL
A4GALT,Ovarian cancer,DOWNREG
A4GNT,Ovarian cancer,UPREG
AACS,Brain cancer,UPREG
AACS,Breast cancer,NEUTRAL
AACS,Colorectal cancer,DOWNREG
AADAC,Breast cancer,UPREG
AADAC,Ovarian cancer,NEUTRAL
AASS,Breast cancer,NEUTRAL
AASS,Lung cancer,DOWNREG
AASS,Ovarian cancer,UPREG
ABAT,Brain cancer,NEUTRAL
ABAT,Breast cancer,NEUTRAL
ABAT,Lung cancer,NEUTRAL
ABAT,Prostate cancer,NEUTRAL
ABCA1,Breast cancer,NEUTRAL
ABCA1,Colorectal cancer,UPREG
ABCB11,Blood cancer,NEUTRAL
ABCB11,Breast cancer,NEUTRAL
ABCB11,Colorectal cancer,DOWNREG
ABCB11,Skin cancer,DOWNREG
ABCB4,Breast cancer,NEUTRAL
ABCB4,Lung cancer,NEUTRAL
ABCC1,Blood cancer,NEUTRAL
ABCC1,Breast cancer,UPREG
ABCC3,Brain cancer,NEUTRAL
ABCC3,Breast cancer,NEUTRAL
ABCC3,Ovarian cancer,UPREG
ABCC4,Brain cancer,DOWNREG
ABCC4,Breast cancer,NEUTRAL
ABCC4,Colorectal cancer,UPREG
ABCC4,Lung cancer,NEUTRAL
ABCC5,Breast cancer,UPREG
ABCC5,Colorectal cancer,UPREG
ABCC5,Ovarian cancer,UPREG
ABO,Brain cancer,UPREG
ABO,Breast cancer,NEUTRAL
ABO,Ovarian cancer,DOWNREG
ACAA1,Breast cancer,DOWNREG
ACAA1,Prostate cancer,NEUTRAL
ACACA,Breast cancer,NEUTRAL
ACACB,Breast cancer,DOWNREG
ACACB,Colorectal cancer,DOWNREG
ACACB,Lung cancer,DOWNREG
ACACB,Ovarian cancer,NEUTRAL
ACAD10,Breast cancer,DOWNREG
ACAD10,Lung cancer,DOWNREG
ACAD11,Blood cancer,DOWNREG
ACAD11,Breast cancer,UPREG
ACAD11,Skin cancer,UPREG
ACAD8,Brain cancer,DOWNREG
ACAD8,Breast cancer,DOWNREG
ACAD9,Breast cancer,UPREG
ACAD9,Ovarian cancer,UPREG
ACADM,Brain cancer,UPREG
ACADM,Breast cancer,DOWNREG
ACADM,Lung cancer,DOWNREG
ACADSB,Blood cancer,NEUTRAL
ACADSB,Brain cancer,DOWNREG
ACADSB,Breast cancer,NEUTRAL
ACADSB,Colorectal cancer,DOWNREG
ACADSB,Lung cancer,DOWNREG
ACAT1,Brain cancer,NEUTRAL
ACAT1,Lung cancer,NEUTRAL
ACAT2,Blood cancer,UPREG
ACAT2,Breast cancer,UPREG
ACAT2,Lung cancer,NEUTRAL
ACAT2,Ovarian cancer,UPREG
ACHE,Brain cancer,UPREG
ACHE,Breast cancer,UPREG
ACHE,Lung cancer,DOWNREG
ACHE,Ovarian cancer,UPREG
ACLY,Breast cancer,NEUTRAL
ACLY,Lung cancer,UPREG
ACMSD,Colorectal cancer,UPREG
ACO1,Brain cancer,DOWNREG
ACO1,Colorectal cancer,UPREG
ACO1,Ovarian cancer,UPREG
ACO2,Brain cancer,NEUTRAL
ACOT12,Brain cancer,UPREG
ACOT12,Breast cancer,NEUTRAL
ACOT2,Breast cancer,NEUTRAL
ACOT2,Colorectal cancer,UPREG
ACOT8,Breast cancer,UPREG
ACOT8,Ovarian cancer,NEUTRAL
ACOT8,Skin cancer,UPREG
ACOX1,Brain cancer,DOWNREG
ACOX1,Breast cancer,NEUTRAL
ACOX1,Colorectal cancer,DOWNREG
ACOX1,Lung cancer,UPREG
ACOX2,Breast cancer,NEUTRAL
ACOX2,Colorectal cancer,NEUTRAL
ACOX3,Breast cancer,DOWNREG
ACOX3,Colorectal cancer,DOWNREG
ACOX3,Lung cancer,NEUTRAL
ACP1,Blood cancer,UPREG
ACP1,Brain cancer,UPREG
ACP1,Breast cancer,UPREG
ACP1,Colorectal cancer,UPREG
ACP1,Lung cancer,UPREG
ACP1,Skin cancer,UPREG
ACP2,Lung cancer,UPREG
ACSL1,Brain cancer,UPREG
ACSL1,Colorectal cancer,UPREG
